"","SRR7992453.sorted.bam","SRR7992450.sorted.bam"
"peak_1",119,83
"peak_2",70,21
"peak_3",93,34
"peak_4",174,51
"peak_5",54,17
"peak_6",204,57
"peak_7",225,98
"peak_8",215,154
"peak_9",332,214
"peak_10",396,115
"peak_11",220,162
"peak_12",1586,712
"peak_13",167,107
"peak_14",103,44
"peak_15",177,48
"peak_16",243,142
"peak_17",392,115
"peak_18",208,145
"peak_19",292,191
"peak_20",142,102
"peak_21",493,368
"peak_22",1017,714
"peak_23",85,55
"peak_24",81,54
"peak_25",314,210
"peak_26",1238,839
"peak_27",112,64
"peak_28",49,22
"peak_29",67,24
"peak_30",53,8
"peak_31",253,156
"peak_32",254,131
"peak_33",284,173
"peak_34",55,28
"peak_35",71,29
"peak_36",365,218
"peak_37",560,243
"peak_38",317,184
"peak_39",386,210
"peak_40",224,106
"peak_41",869,562
"peak_42",163,116
"peak_43",319,126
"peak_44",122,72
"peak_45",68,18
"peak_46",149,66
"peak_47",100,31
"peak_48",38,8
"peak_49",395,80
"peak_50",130,56
"peak_51",1104,675
"peak_52",36,12
"peak_53",5075,1839
"peak_54",775,513
"peak_55",247,175
"peak_56",187,112
"peak_57",279,195
"peak_58",39,11
"peak_59",334,202
"peak_60",272,66
"peak_61",119,57
"peak_62",334,230
"peak_63",10361,5754
"peak_64",3026,2216
"peak_65",3103,2278
"peak_66",1933,1312
"peak_67",83,53
"peak_68",102,37
"peak_69",230,96
"peak_70",1238,657
"peak_71",813,514
"peak_72",2347,943
"peak_73",364,162
"peak_74",81,46
"peak_75",117,74
"peak_76",49,16
"peak_77",257,96
"peak_78",125,46
"peak_79",104,45
"peak_80",137,26
"peak_81",55,9
"peak_82",657,486
"peak_83",607,275
"peak_84",165,102
"peak_85",214,102
"peak_86",133,68
"peak_87",120,88
"peak_88",105,76
"peak_89",460,280
"peak_90",73,44
"peak_91",603,299
"peak_92",405,272
"peak_93",2167,975
"peak_94",3620,1251
"peak_95",47,23
"peak_96",40,9
"peak_97",73,34
"peak_98",146,63
"peak_99",1338,443
"peak_100",60,26
"peak_101",32,9
"peak_102",194,88
"peak_103",235,140
"peak_104",264,135
"peak_105",71,30
"peak_106",230,135
"peak_107",317,88
"peak_108",127,25
"peak_109",2312,1221
"peak_110",11168,3231
"peak_111",101,37
"peak_112",106,33
"peak_113",360,196
"peak_114",378,257
"peak_115",171,80
"peak_116",364,182
"peak_117",1885,845
"peak_118",200,82
"peak_119",174,107
"peak_120",94,47
"peak_121",170,93
"peak_122",460,164
"peak_123",205,88
"peak_124",347,144
"peak_125",61,36
"peak_126",756,527
"peak_127",437,314
"peak_128",283,141
"peak_129",75,41
"peak_130",62,18
"peak_131",98,66
"peak_132",731,480
"peak_133",750,284
"peak_134",87,57
"peak_135",4537,1515
"peak_136",69,14
"peak_137",1049,592
"peak_138",129,55
"peak_139",90,31
"peak_140",49,20
"peak_141",1895,1065
"peak_142",464,165
"peak_143",436,246
"peak_144",348,101
"peak_145",2033,1075
"peak_146",2327,1438
"peak_147",1213,511
"peak_148",59,24
"peak_149",1451,752
"peak_150",726,461
"peak_151",741,408
"peak_152",53,14
"peak_153",93,59
"peak_154",3662,811
"peak_155",382,241
"peak_156",82,57
"peak_157",75,42
"peak_158",1476,333
"peak_159",173,126
"peak_160",2923,1116
"peak_161",292,211
"peak_162",416,221
"peak_163",312,112
"peak_164",170,66
"peak_165",71,25
"peak_166",68,43
"peak_167",105,71
"peak_168",284,152
"peak_169",165,114
"peak_170",212,159
"peak_171",182,93
"peak_172",251,131
"peak_173",42,14
"peak_174",454,125
"peak_175",211,101
"peak_176",83,43
"peak_177",125,45
"peak_178",1204,469
"peak_179",1481,548
"peak_180",215,153
"peak_181",642,477
"peak_182",71,25
"peak_183",261,155
"peak_184",1533,446
"peak_185",2347,1454
"peak_186",6676,3050
"peak_187",201,117
"peak_188",133,77
"peak_189",165,110
"peak_190",860,278
"peak_191",448,200
"peak_192",141,107
"peak_193",269,198
"peak_194",106,71
"peak_195",122,81
"peak_196",4271,1388
"peak_197",2836,805
"peak_198",722,435
"peak_199",221,75
"peak_200",52,22
"peak_201",580,286
"peak_202",86,53
"peak_203",99,50
"peak_204",367,138
"peak_205",437,140
"peak_206",267,157
"peak_207",4738,792
"peak_208",108,60
"peak_209",118,83
"peak_210",92,41
"peak_211",178,88
"peak_212",256,117
"peak_213",350,188
"peak_214",131,78
"peak_215",226,122
"peak_216",65,35
"peak_217",133,74
"peak_218",872,426
"peak_219",81,54
"peak_220",476,319
"peak_221",403,282
"peak_222",788,390
"peak_223",160,123
"peak_224",2184,838
"peak_225",91,26
"peak_226",180,69
"peak_227",274,158
"peak_228",489,334
"peak_229",311,224
"peak_230",842,317
"peak_231",155,112
"peak_232",621,372
"peak_233",309,224
"peak_234",175,103
"peak_235",285,193
"peak_236",155,92
"peak_237",64,37
"peak_238",168,75
"peak_239",791,302
"peak_240",354,214
"peak_241",272,190
"peak_242",55,28
"peak_243",93,39
"peak_244",605,341
"peak_245",582,326
"peak_246",51,18
"peak_247",191,72
"peak_248",58,23
"peak_249",191,116
"peak_250",164,81
"peak_251",684,168
"peak_252",49,22
"peak_253",1155,492
"peak_254",391,153
"peak_255",108,67
"peak_256",57,19
"peak_257",2004,1406
"peak_258",2579,1713
"peak_259",137,98
"peak_260",1291,522
"peak_261",221,92
"peak_262",99,71
"peak_263",144,101
"peak_264",90,63
"peak_265",836,453
"peak_266",506,169
"peak_267",506,219
"peak_268",105,58
"peak_269",433,238
"peak_270",99,74
"peak_271",189,136
"peak_272",97,69
"peak_273",58,32
"peak_274",774,421
"peak_275",428,206
"peak_276",1084,223
"peak_277",109,72
"peak_278",73,24
"peak_279",476,330
"peak_280",2070,1208
"peak_281",137,58
"peak_282",102,54
"peak_283",854,616
"peak_284",531,388
"peak_285",397,186
"peak_286",663,456
"peak_287",74,43
"peak_288",253,171
