"","RPKM.input","RPKM.IP"
"peak_1",0.000108145576976198,7.4053436835561e-05
"peak_2",3.04023710374853e-06,4.84009391082098e-06
"peak_3",4.02732707249805e-05,5.26124493942488e-05
"peak_4",2.41639624349883e-05,3.93744782563411e-05
"peak_5",7.38343296624642e-06,1.12013601936143e-05
"peak_6",7.4268649248714e-05,0.000126948748860962
"peak_7",7.29656904899646e-05,8.00097156686733e-05
"peak_8",3.82201235899815e-05,2.54845761018737e-05
"peak_9",0.000101393881589951,7.51283148339381e-05
"peak_10",3.32978349458172e-05,5.47622053910031e-05
"peak_11",0.000168863455133918,0.000109524410782006
"peak_12",0.000106023615569091,0.000112795919156014
"peak_13",6.97082935930912e-05,5.19618653425995e-05
"peak_14",4.58641483079778e-05,5.1277337775212e-05
"peak_15",5.00336163359757e-05,8.81173668564322e-05
"peak_16",6.72800522699674e-05,5.49884954959246e-05
"peak_17",0.000299680514512355,0.000487881466210755
"peak_18",1.60790655335028e-05,1.1015994894902e-05
"peak_19",5.8556499510854e-05,4.27555186475211e-05
"peak_20",6.41108506475811e-06,4.26272484186425e-06
"peak_21",0.000159829607739922,0.000102264269915775
"peak_22",0.0018606251074941,0.00126575370187841
"peak_23",1.59250514958256e-05,1.17545137834224e-05
"peak_24",4.85239813603213e-06,3.47628419801822e-06
"peak_25",0.000136810669668684,9.77007527998578e-05
"peak_26",0.000336363814950991,0.000237047588370845
"peak_27",0.000166778721119919,0.000139394704631644
"peak_28",1.91100617949907e-05,2.03283944254481e-05
"peak_29",6.25420204199697e-05,8.33879036635729e-05
"peak_30",1.81281218608608e-06,5.73596222474933e-06
"peak_31",3.12710102099848e-05,2.42217446921744e-05
"peak_32",0.000341375194792334,0.000316127276575336
"peak_33",1.20091563805882e-05,9.415693763649e-06
"peak_34",8.71752574551549e-08,8.17834608587262e-08
"peak_35",7.55716080074633e-05,8.83662859718459e-05
"peak_36",0.000126242226403272,0.00010095053013998
"peak_37",0.000633237956752193,0.000696973523158221
"peak_38",0.000319659215479845,0.000263024531953757
"peak_39",4.98399525204676e-05,4.3753542144658e-05
"peak_40",6.90568142137165e-05,6.96973523158221e-05
"peak_41",0.000195270085977905,0.000144207140862975
"peak_42",6.71747626733008e-05,4.50820175693611e-05
"peak_43",0.000218897071469894,0.000264683992723182
"peak_44",3.76713771955003e-07,3.04864193876896e-07
"peak_45",7.96105147912037e-07,1.43639679634489e-06
"peak_46",6.87962224619666e-05,7.41778963932678e-05
"peak_47",1.24282220065324e-05,1.91476242625885e-05
"peak_48",1.38982267599933e-05,3.15297546190624e-05
"peak_49",1.89521273999908e-05,4.46922957219963e-05
"peak_50",2.65329783599871e-05,2.9417713639795e-05
"peak_51",0.00175899432431165,0.00137403351708335
"peak_52",2.71921827912912e-06,3.8961252847354e-06
"peak_53",0.00045640783949335,0.000601554528916322
"peak_54",1.35581712624427e-05,9.78257172644924e-06
"peak_55",0.000101341236791618,6.83144683413018e-05
"peak_56",8.04472883020558e-06,6.4150874562228e-06
"peak_57",2.90373666235573e-05,1.9842409485831e-05
"peak_58",9.55503089749537e-06,1.61797425018873e-05
"peak_59",7.0186045137966e-05,5.54259896987728e-05
"peak_60",5.1804384384011e-05,0.000101966866554989
"peak_61",0.000148537298497428,0.000148106873671122
"peak_62",9.22093890807245e-05,6.39530650370455e-05
"peak_63",0.00130386516484241,0.00112132650208732
"peak_64",0.000786745670133133,0.000513098939537947
"peak_65",0.000339216005992121,0.000220684575751016
"peak_66",0.000854740945739585,0.000601450812618233
"peak_67",2.85949541257625e-06,2.13874602270528e-06
"peak_68",8.76535892249575e-06,1.15407953509965e-05
"peak_69",0.000125084040839939,0.000143128491362849
"peak_70",4.25680708353225e-05,3.83095306914594e-05
"peak_71",5.3577664159774e-05,4.04742481662595e-05
"peak_72",0.00245738021900131,0.00292106581937919
"peak_73",6.49474827438146e-05,6.96973523158221e-05
"peak_74",1.71246008292774e-05,1.44017488203612e-05
"peak_75",2.4372838257698e-06,1.84046615921367e-06
"peak_76",1.60364154922999e-06,2.34558397216709e-06
"peak_77",5.5592907039973e-05,7.10802362903424e-05
"peak_78",0.000119872205804942,0.000155574447133531
"peak_79",3.35046537964123e-05,3.69822685757423e-05
"peak_80",3.15134211418452e-06,7.93067879341165e-06
"peak_81",1.17266288287443e-05,3.42263783693769e-05
"peak_82",0.000361850261001253,0.000233628369752526
"peak_83",7.9625257479128e-05,8.3941057253381e-05
"peak_84",5.90674637299713e-05,4.56351711591692e-05
"peak_85",2.80206184677283e-06,2.80775304124611e-06
"peak_86",3.22186165799844e-05,3.00965839545595e-05
"peak_87",0.000152880494359926,9.95676461654601e-05
"peak_88",0.000198049731329904,0.000130682535592166
"peak_89",0.000105747377521688,8.29730384712168e-05
"peak_90",0.000114660370769944,9.08554771259824e-05
"peak_91",8.20178250244339e-05,7.8999066628648e-05
"peak_92",2.2660152326076e-05,1.61144887695857e-05
"peak_93",0.000211730798296772,0.000224753217958908
"peak_94",0.000135833450599622,0.000187726499541128
"peak_95",9.72988683481671e-06,9.49610261724153e-06
"peak_96",1.56355051049924e-05,3.31892153884867e-05
"peak_97",5.90674637299714e-05,6.05703180839883e-05
"peak_98",2.98496006549855e-05,3.3038355318539e-05
"peak_99",5.13076204556418e-05,7.40119503163254e-05
"peak_100",3.38769277274836e-05,3.73378673120476e-05
"peak_101",2.34532576574886e-05,3.98270584661841e-05
"peak_102",4.37635002938719e-05,4.60785385403131e-05
"peak_103",6.63324458999678e-05,5.31781746565526e-05
"peak_104",1.45011898129567e-05,1.35438265600172e-05
"peak_105",2.60591751749874e-05,2.9455428657282e-05
"peak_106",0.000117266288287443,9.54189942418993e-05
"peak_107",2.69789107693987e-05,4.64160938741924e-05
"peak_108",1.18450796249943e-05,2.87388433250305e-05
"peak_109",0.000423115065008771,0.00038264693805609
"peak_110",0.000481126828516481,0.000794265337411328
"peak_111",1.92837896294906e-05,2.51408306567787e-05
"peak_112",1.91100617949907e-05,2.93171402598299e-05
"peak_113",4.93011422229491e-05,4.32484949560396e-05
"peak_114",0.000124483420445572,8.74455628497768e-05
"peak_115",2.97819144856998e-05,3.04036919540959e-05
"peak_116",0.000105394886263282,0.000100673953345076
"peak_117",0.000110210225339661,0.000117420553692375
"peak_118",2.84913648579862e-05,3.31892153884867e-05
"peak_119",1.45817997266167e-06,1.1325155862874e-06
"peak_120",3.80555938734901e-07,3.63509769588664e-07
"peak_121",5.38556286949739e-05,4.70180551336895e-05
"peak_122",4.27370472869793e-05,5.72513965451396e-05
"peak_123",2.86650926924861e-05,3.1892761662374e-05
"peak_124",2.88655478861398e-05,3.3221128095591e-05
"peak_125",6.25420204199697e-05,5.06135534674422e-05
"peak_126",0.00137331853172183,0.000940914256263598
"peak_127",0.000272752700164868,0.000181296089059609
"peak_128",6.75679238630603e-06,6.4770236908848e-06
"peak_129",5.89639173385476e-06,5.15147175938846e-06
"peak_130",1.34018615185649e-05,2.20471216509233e-05
"peak_131",1.34788837112004e-06,9.55880615616682e-07
"peak_132",0.000208473401399899,0.000151633227806149
"peak_133",0.000105725796424234,0.000133349526114456
"peak_134",7.4268649248714e-05,5.4139907602469e-05
"peak_135",0.000151263028314582,0.000216349813530983
"peak_136",8.1072989433294e-06,1.90837988483799e-05
"peak_137",0.0001814944906305,0.000153597736511129
"peak_138",2.60591751749874e-05,2.91914235348735e-05
"peak_139",1.7951876231658e-05,2.4891911541365e-05
"peak_140",2.60591751749874e-05,3.04925916381722e-05
"peak_141",1.43600123981257e-06,1.22034326707457e-06
"peak_142",4.09501324178373e-05,5.49992712152065e-05
"peak_143",8.54740945739585e-05,7.2352489546901e-05
"peak_144",6.05887820597082e-06,9.97051705386168e-06
"peak_145",0.000466893555218524,0.000421710468029959
