"","SRR7992459Aligned.sortedByCoord.out_sorted.bam","SRR7992460Aligned.sortedByCoord.out_sorted.bam"
"peak_1",78,34
"peak_2",429,142
"peak_3",255,65
"peak_4",122,56
"peak_5",212,150
"peak_6",287,202
"peak_7",166,42
"peak_8",601,247
"peak_9",136,35
"peak_10",93,70
"peak_11",163,110
"peak_12",144,99
"peak_13",101,51
"peak_14",79,43
"peak_15",51,17
"peak_16",293,124
"peak_17",44,18
"peak_18",36,7
"peak_19",62,19
"peak_20",227,105
"peak_21",61,22
"peak_22",47,22
"peak_23",147,78
"peak_24",105,40
"peak_25",140,88
"peak_26",86,22
"peak_27",166,105
"peak_28",101,29
"peak_29",48,18
"peak_30",741,245
"peak_31",157,103
"peak_32",71,34
"peak_33",1006,706
"peak_34",4838,1886
"peak_35",895,531
"peak_36",140,99
"peak_37",218,177
"peak_38",312,225
"peak_39",58,32
"peak_40",450,125
"peak_41",252,155
"peak_42",11394,6610
"peak_43",1412,1037
"peak_44",90,62
"peak_45",50,27
"peak_46",57,26
"peak_47",137,67
"peak_48",1097,603
"peak_49",390,287
"peak_50",405,282
"peak_51",2157,901
"peak_52",421,191
"peak_53",86,60
"peak_54",43,12
"peak_55",280,107
"peak_56",193,66
"peak_57",495,302
"peak_58",62,35
"peak_59",177,34
"peak_60",46,16
"peak_61",798,556
"peak_62",631,287
"peak_63",245,134
"peak_64",142,54
"peak_65",661,311
"peak_66",286,218
"peak_67",139,91
"peak_68",293,216
"peak_69",1522,774
"peak_70",2693,1057
"peak_71",90,26
"peak_72",44,11
"peak_73",175,80
"peak_74",1291,414
"peak_75",42,17
"peak_76",40,10
"peak_77",149,66
"peak_78",42,15
"peak_79",62,21
"peak_80",78,55
"peak_81",158,120
"peak_82",359,100
"peak_83",74,14
"peak_84",1061,666
"peak_85",5880,1809
"peak_86",130,48
"peak_87",87,22
"peak_88",41,18
"peak_89",296,182
"peak_90",245,181
"peak_91",94,53
"peak_92",70,45
"peak_93",171,101
"peak_94",747,414
"peak_95",123,83
"peak_96",268,184
"peak_97",167,86
"peak_98",370,129
"peak_99",251,102
"peak_100",243,91
"peak_101",182,135
"peak_102",115,78
"peak_103",41,14
"peak_104",64,36
"peak_105",534,354
"peak_106",549,248
"peak_107",52,16
"peak_108",92,14
"peak_109",3529,1286
"peak_110",43,10
"peak_111",1000,507
"peak_112",71,31
"peak_113",40,14
