"","SRR7992459Aligned.sortedByCoord.out_sorted.bam","SRR7992460Aligned.sortedByCoord.out_sorted.bam"
"peak_114",34,10
"peak_115",568,231
"peak_116",490,262
"peak_117",380,148
"peak_118",251,158
"peak_119",249,127
"peak_120",1605,973
"peak_121",1461,1083
"peak_122",986,571
"peak_123",175,98
"peak_124",598,346
"peak_125",1324,612
"peak_126",832,553
"peak_127",356,246
"peak_128",87,53
"peak_129",2442,791
"peak_130",387,236
"peak_131",1332,347
"peak_132",2697,1142
"peak_133",296,216
"peak_134",245,145
"peak_135",288,109
"peak_136",170,67
"peak_137",116,79
"peak_138",284,203
"peak_139",164,120
"peak_140",358,243
"peak_141",132,67
"peak_142",135,52
"peak_143",232,61
"peak_144",122,49
"peak_145",65,38
"peak_146",828,363
"peak_147",3841,2324
"peak_148",3861,2341
"peak_149",877,419
"peak_150",390,158
"peak_151",1266,574
"peak_152",167,115
"peak_153",75,50
"peak_154",217,172
"peak_155",95,22
"peak_156",110,89
"peak_157",525,360
"peak_158",2274,1418
"peak_159",6009,2636
"peak_160",204,114
"peak_161",218,125
"peak_162",315,214
"peak_163",1035,401
"peak_164",70,42
"peak_165",453,199
"peak_166",382,251
"peak_167",122,88
"peak_168",5945,2224
"peak_169",3648,1451
"peak_170",32,10
"peak_171",820,589
"peak_172",399,231
"peak_173",523,208
"peak_174",695,254
"peak_175",99,70
"peak_176",215,144
"peak_177",3310,608
"peak_178",107,77
"peak_179",59,24
"peak_180",150,50
"peak_181",121,44
"peak_182",395,190
"peak_183",135,93
"peak_184",131,85
"peak_185",1623,639
"peak_186",814,503
"peak_187",837,412
"peak_188",223,165
"peak_189",122,44
"peak_190",197,122
"peak_191",392,253
"peak_192",650,194
"peak_193",84,59
"peak_194",179,127
"peak_195",64,39
"peak_196",188,129
"peak_197",88,65
"peak_198",121,70
"peak_199",897,465
"peak_200",587,348
"peak_201",286,156
"peak_202",40,8
"peak_203",41,10
"peak_204",313,167
"peak_205",544,287
"peak_206",187,67
"peak_207",67,38
"peak_208",229,125
"peak_209",179,61
"peak_210",585,128
"peak_211",1384,599
"peak_212",377,184
"peak_213",103,77
"peak_214",162,114
"peak_215",993,733
"peak_216",1274,838
"peak_217",804,386
"peak_218",440,159
"peak_219",38,14
"peak_220",356,186
"peak_221",325,190
"peak_222",203,76
"peak_223",128,76
"peak_224",33,7
"peak_225",284,194
"peak_226",171,110
"peak_227",272,200
"peak_228",214,147
"peak_229",127,87
"peak_230",814,450
"peak_231",383,273
"peak_232",684,199
"peak_233",115,63
"peak_234",75,40
"peak_235",971,534
"peak_236",104,79
"peak_237",689,506
"peak_238",445,329
"peak_239",413,187
"peak_240",158,104
"peak_241",905,626
"peak_242",63,28
"peak_243",142,95
"peak_244",321,107
"peak_245",56,32
"peak_246",42,16
"peak_247",118,78
"peak_248",1700,872
"peak_249",1766,761
"peak_250",229,135
"peak_251",63,18
"peak_252",41,16
"peak_253",87,19
"peak_254",240,118
"peak_255",197,116
"peak_256",1731,548
"peak_257",671,280
"peak_258",258,172
"peak_259",70,37
"peak_260",165,122
"peak_261",89,22
"peak_262",79,45
"peak_263",1490,1088
"peak_264",1278,820
"peak_265",344,205
"peak_266",1430,733
"peak_267",272,181
"peak_268",57,33
"peak_269",308,225
"peak_270",483,319
"peak_271",344,238
"peak_272",61,22
"peak_273",89,32
"peak_274",82,22
"peak_275",81,16
"peak_276",85,56
"peak_277",48,23
"peak_278",713,298
"peak_279",209,147
"peak_280",242,130
"peak_281",115,47
"peak_282",2604,1131
"peak_283",58,34
"peak_284",267,167
"peak_285",278,130
"peak_286",137,113
"peak_287",1712,1238
"peak_288",525,368
"peak_289",50,24
"peak_290",621,344
"peak_291",574,330
"peak_292",235,172
"peak_293",325,237
"peak_294",144,109
"peak_295",1099,426
"peak_296",186,137
"peak_297",1451,505
"peak_298",79,32
"peak_299",468,159
"peak_300",65,41
"peak_301",342,216
"peak_302",465,231
"peak_303",195,130
"peak_304",1078,651
"peak_305",175,123
"peak_306",124,91
"peak_307",217,127
"peak_308",274,171
"peak_309",856,562
"peak_310",2129,845
"peak_311",609,424
"peak_312",240,174
"peak_313",590,417
"peak_314",369,268
"peak_315",121,51
"peak_316",1242,659
"peak_317",423,127
"peak_318",244,98
"peak_319",454,286
"peak_320",594,422
"peak_321",4025,2802
"peak_322",2570,1855
"peak_323",24741,10999
"peak_324",126,48
"peak_325",750,266
"peak_326",548,164
"peak_327",388,263
"peak_328",529,256
"peak_329",510,181
"peak_330",107,67
"peak_331",185,112
"peak_332",110,68
"peak_333",54,27
"peak_334",107,26
"peak_335",64,19
"peak_336",75,42
"peak_337",225,65
"peak_338",215,153
"peak_339",182,119
"peak_340",88,34
"peak_341",77,23
"peak_342",142,82
"peak_343",542,392
"peak_344",4100,1279
"peak_345",465,328
"peak_346",21068,9394
"peak_347",2595,1879
"peak_348",601,149
"peak_349",106,35
"peak_350",82,39
"peak_351",1864,775
"peak_352",863,493
"peak_353",155,106
"peak_354",101,64
"peak_355",791,554
"peak_356",364,259
"peak_357",429,238
"peak_358",462,273
"peak_359",73,30
"peak_360",74,41
"peak_361",411,158
"peak_362",66,38
"peak_363",88,35
"peak_364",125,48
"peak_365",1153,841
"peak_366",36,12
"peak_367",2616,1697
"peak_368",979,669
"peak_369",199,142
"peak_370",1899,610
"peak_371",57,15
"peak_372",178,57
"peak_373",194,101
"peak_374",70,34
"peak_375",109,57
"peak_376",618,291
"peak_377",47,14
"peak_378",67,29
"peak_379",128,24
"peak_380",371,119
"peak_381",440,168
"peak_382",276,104
"peak_383",75,44
"peak_384",345,141
"peak_385",322,167
"peak_386",171,121
"peak_387",404,210
"peak_388",56,24
"peak_389",157,37
"peak_390",161,88
"peak_391",187,84
"peak_392",171,99
"peak_393",55,27
"peak_394",84,24
"peak_395",88,28
"peak_396",502,215
"peak_397",461,146
"peak_398",109,34
"peak_399",220,149
"peak_400",110,63
"peak_401",137,62
"peak_402",103,76
"peak_403",121,80
"peak_404",129,91
"peak_405",475,311
"peak_406",1626,647
"peak_407",65,28
"peak_408",263,59
"peak_409",2682,1651
"peak_410",959,417
"peak_411",98,63
"peak_412",115,79
"peak_413",601,413
"peak_414",65,31
"peak_415",531,176
"peak_416",164,78
"peak_417",243,175
"peak_418",527,367
"peak_419",176,74
"peak_420",96,63
"peak_421",1752,823
"peak_422",2305,1259
"peak_423",772,489
"peak_424",174,108
"peak_425",346,131
"peak_426",37,11
"peak_427",124,65
"peak_428",575,210
"peak_429",110,80
"peak_430",176,69
"peak_431",170,63
"peak_432",788,301
"peak_433",110,53
"peak_434",48,24
"peak_435",668,458
"peak_436",165,51
"peak_437",42,14
"peak_438",37,12
"peak_439",126,73
"peak_440",573,380
"peak_441",3260,2078
"peak_442",128,109
"peak_443",263,115
"peak_444",8146,4737
"peak_445",4858,3544
"peak_446",426,173
"peak_447",92,50
"peak_448",581,236
"peak_449",72,27
"peak_450",1090,520
"peak_451",523,171
"peak_452",292,84
"peak_453",1108,568
"peak_454",137,97
"peak_455",94,61
"peak_456",123,75
"peak_457",1153,870
"peak_458",355,125
"peak_459",97,10
"peak_460",85,16
"peak_461",101,36
"peak_462",57,17
"peak_463",49,24
"peak_464",59,14
"peak_465",218,68
"peak_466",131,60
"peak_467",71,37
"peak_468",190,95
"peak_469",362,179
"peak_470",72,23
"peak_471",801,452
"peak_472",983,348
"peak_473",2621,974
"peak_474",193,136
"peak_475",129,81
"peak_476",77,37
"peak_477",180,55
"peak_478",672,376
"peak_479",525,297
"peak_480",373,213
"peak_481",791,414
"peak_482",179,128
"peak_483",421,253
"peak_484",795,444
"peak_485",359,210
"peak_486",687,237
"peak_487",73,45
"peak_488",201,95
"peak_489",100,62
"peak_490",617,180
"peak_491",186,122
"peak_492",67,14
"peak_493",2200,1476
"peak_494",3360,1850
"peak_495",577,185
"peak_496",111,84
"peak_497",186,126
"peak_498",48,19
"peak_499",186,55
"peak_500",58,21
"peak_501",865,297
"peak_502",135,110
"peak_503",356,242
"peak_504",378,186
"peak_505",434,152
"peak_506",313,194
"peak_507",2689,942
"peak_508",659,322
"peak_509",45,17
"peak_510",58,33
"peak_511",352,170
"peak_512",752,282
"peak_513",95721,26123
"peak_514",9028,6205
"peak_515",332,131
"peak_516",354,239
"peak_517",143,86
"peak_518",69,15
"peak_519",316,73
"peak_520",562,322
"peak_521",494,220
"peak_522",278,192
"peak_523",66,30
"peak_524",101,64
"peak_525",55,10
"peak_526",219,133
"peak_527",83,56
"peak_528",1638,517
"peak_529",191,76
"peak_530",291,179
"peak_531",261,197
"peak_532",48,20
"peak_533",3905,1963
"peak_534",56,29
"peak_535",37,13
"peak_536",488,309
"peak_537",93,28
"peak_538",80,38
"peak_539",37,12
"peak_540",120,46
"peak_541",170,114
"peak_542",89,57
"peak_543",541,255
"peak_544",57,20
"peak_545",65,33
"peak_546",116,40
"peak_547",5006,2683
"peak_548",994,724
"peak_549",1095,724
"peak_550",3788,2189
"peak_551",140,81
"peak_552",918,450
"peak_553",64,39
"peak_554",382,259
"peak_555",38,13
"peak_556",35,8
"peak_557",83,43
"peak_558",155,82
"peak_559",331,111
"peak_560",105,44
"peak_561",166,55
"peak_562",577,145
"peak_563",302,114
"peak_564",250,172
"peak_565",149,94
"peak_566",501,142
"peak_567",99,74
"peak_568",749,354
"peak_569",750,401
"peak_570",1265,652
"peak_571",712,245
"peak_572",452,231
"peak_573",425,179
"peak_574",629,322
"peak_575",98,43
"peak_576",132,69
"peak_577",169,115
"peak_578",902,661
"peak_579",453,294
"peak_580",168,110
"peak_581",367,203
"peak_582",223,103
"peak_583",717,403
"peak_584",290,205
"peak_585",511,280
"peak_586",2370,792
"peak_587",283,199
"peak_588",183,106
"peak_589",509,341
"peak_590",54,11
"peak_591",1393,785
"peak_592",35,4
"peak_593",45,9
"peak_594",271,201
"peak_595",671,468
"peak_596",2687,1366
"peak_597",323,171
"peak_598",137,95
"peak_599",2051,1426
"peak_600",9644,4749
"peak_601",2825,1842
"peak_602",467,141
"peak_603",832,399
"peak_604",557,401
"peak_605",360,237
"peak_606",94,45
"peak_607",109,48
"peak_608",52,13
"peak_609",844,556
"peak_610",264,166
"peak_611",113,49
"peak_612",335,103
"peak_613",50,12
"peak_614",439,166
"peak_615",292,106
"peak_616",306,132
"peak_617",299,122
"peak_618",583,243
"peak_619",218,103
"peak_620",140,92
"peak_621",1073,475
"peak_622",92,48
"peak_623",61,19
"peak_624",475,236
"peak_625",616,290
"peak_626",918,494
"peak_627",2595,1270
"peak_628",176,103
"peak_629",43,11
"peak_630",87,38
"peak_631",64,29
"peak_632",66,25
"peak_633",51,23
"peak_634",187,123
"peak_635",82,56
"peak_636",143,82
"peak_637",170,58
"peak_638",92,44
"peak_639",201,92
"peak_640",292,204
"peak_641",35,9
"peak_642",982,335
"peak_643",532,256
"peak_644",1626,762
"peak_645",69,30
"peak_646",47,16
"peak_647",155,70
"peak_648",873,238
"peak_649",152,74
"peak_650",144,76
"peak_651",266,184
"peak_652",246,182
"peak_653",389,177
"peak_654",501,366
"peak_655",2202,1390
"peak_656",303,189
"peak_657",841,303
"peak_658",484,340
"peak_659",718,363
"peak_660",448,207
"peak_661",116,67
"peak_662",423,190
"peak_663",80,36
"peak_664",445,294
"peak_665",1023,469
"peak_666",242,149
"peak_667",88,34
"peak_668",43,11
"peak_669",90,44
"peak_670",48,14
"peak_671",49,11
"peak_672",225,151
"peak_673",521,335
"peak_674",61,7
"peak_675",611,223
"peak_676",782,357
"peak_677",111,63
"peak_678",100,50
"peak_679",144,46
"peak_680",245,94
"peak_681",337,241
"peak_682",47,15
"peak_683",187,94
"peak_684",185,129
"peak_685",185,129
"peak_686",815,617
"peak_687",7978,3982
"peak_688",170,128
"peak_689",170,111
"peak_690",145,55
"peak_691",103,59
"peak_692",101,66
"peak_693",168,113
"peak_694",206,149
"peak_695",756,329
"peak_696",330,99
"peak_697",2719,919
"peak_698",877,467
"peak_699",188,129
"peak_700",99,64
"peak_701",134,49
"peak_702",83,42
"peak_703",297,140
"peak_704",666,450
"peak_705",583,301
"peak_706",339,216
"peak_707",208,146
"peak_708",165,86
"peak_709",107,59
"peak_710",63,21
"peak_711",85,28
"peak_712",167,46
"peak_713",666,310
"peak_714",1214,462
"peak_715",102,76
"peak_716",234,163
"peak_717",724,305
"peak_718",2232,1447
"peak_719",541,371
"peak_720",1350,712
"peak_721",532,323
"peak_722",653,284
"peak_723",163,120
"peak_724",155,73
"peak_725",327,183
"peak_726",672,438
"peak_727",278,209
"peak_728",7080,2460
"peak_729",46,13
"peak_730",163,105
"peak_731",84,35
"peak_732",70,27
"peak_733",177,75
"peak_734",149,48
"peak_735",77,28
"peak_736",1780,1006
"peak_737",46,18
"peak_738",83,24
"peak_739",110,29
"peak_740",107,27
"peak_741",207,149
"peak_742",446,193
"peak_743",516,362
"peak_744",290,200
"peak_745",536,317
"peak_746",317,220
"peak_747",875,313
"peak_748",137,93
"peak_749",45,15
"peak_750",39,10
"peak_751",4011,1656
"peak_752",170,110
"peak_753",322,188
"peak_754",185,124
"peak_755",121,86
"peak_756",114,82
"peak_757",174,74
"peak_758",385,100
"peak_759",227,92
"peak_760",64,40
"peak_761",276,228
"peak_762",76,37
"peak_763",182,135
"peak_764",610,455
"peak_765",177,84
"peak_766",86,51
"peak_767",347,203
"peak_768",1046,443
"peak_769",54,16
"peak_770",162,127
"peak_771",352,209
"peak_772",152,101
"peak_773",627,351
"peak_774",2336,832
"peak_775",575,386
"peak_776",748,582
"peak_777",499,317
"peak_778",199,149
"peak_779",1453,556
"peak_780",517,217
"peak_781",169,120
"peak_782",282,131
"peak_783",181,119
"peak_784",217,156
"peak_785",336,133
"peak_786",230,101
"peak_787",56,15
"peak_788",169,62
"peak_789",178,80
"peak_790",82,47
"peak_791",42,15
"peak_792",14546,7284
"peak_793",1045,388
"peak_794",355,193
"peak_795",558,306
"peak_796",136,100
"peak_797",44,20
"peak_798",228,131
"peak_799",338,155
"peak_800",47,14
"peak_801",35,5
"peak_802",251,122
"peak_803",113,68
"peak_804",104,38
"peak_805",287,168
"peak_806",245,116
"peak_807",218,152
"peak_808",48,15
"peak_809",30,7
"peak_810",699,309
"peak_811",125,90
"peak_812",168,105
"peak_813",42,11
"peak_814",171,130
"peak_815",607,371
"peak_816",39,4
"peak_817",37,13
"peak_818",139,41
"peak_819",478,122
"peak_820",78,51
"peak_821",141,97
"peak_822",83,35
"peak_823",53,21
"peak_824",297,111
"peak_825",47,21
"peak_826",1865,1280
"peak_827",738,527
"peak_828",1225,891
"peak_829",629,444
"peak_830",128,79
"peak_831",3783,1731
"peak_832",134,37
"peak_833",175,111
"peak_834",110,48
"peak_835",269,100
"peak_836",130,48
"peak_837",152,110
"peak_838",422,187
"peak_839",317,228
"peak_840",35,9
"peak_841",128,41
"peak_842",69,42
"peak_843",1001,703
"peak_844",2083,979
"peak_845",545,237
"peak_846",274,98
"peak_847",65,34
"peak_848",139,40
"peak_849",243,169
"peak_850",208,89
"peak_851",59,18
"peak_852",160,49
"peak_853",163,102
"peak_854",152,46
"peak_855",143,45
"peak_856",536,171
"peak_857",85,44
"peak_858",51,15
"peak_859",270,175
"peak_860",165,129
"peak_861",188,144
"peak_862",701,441
"peak_863",249,177
"peak_864",395,154
"peak_865",77,36
"peak_866",3316,1452
"peak_867",10695,5422
"peak_868",1143,821
"peak_869",148,96
"peak_870",124,32
"peak_871",140,103
"peak_872",726,331
"peak_873",42,15
"peak_874",210,107
"peak_875",319,134
"peak_876",255,80
"peak_877",274,202
"peak_878",240,140
"peak_879",827,467
"peak_880",595,365
"peak_881",782,317
"peak_882",320,155
"peak_883",392,163
"peak_884",439,83
"peak_885",134,69
"peak_886",75,16
"peak_887",489,249
"peak_888",13162,6157
"peak_889",952,275
"peak_890",1933,555
"peak_891",163,116
"peak_892",225,166
"peak_893",430,213
"peak_894",306,90
"peak_895",55,24
"peak_896",204,127
"peak_897",360,216
"peak_898",75,24
"peak_899",205,140
"peak_900",111,76
"peak_901",1283,869
"peak_902",124,60
"peak_903",108,77
"peak_904",55,19
"peak_905",104,33
"peak_906",69,26
"peak_907",162,68
"peak_908",323,129
"peak_909",401,207
"peak_910",142,61
"peak_911",177,35
"peak_912",2774,1314
"peak_913",1330,777
"peak_914",1326,768
"peak_915",1374,390
"peak_916",452,157
"peak_917",104,39
"peak_918",242,93
"peak_919",113,36
"peak_920",60,26
"peak_921",94,32
"peak_922",137,67
"peak_923",34,12
"peak_924",107,28
"peak_925",180,40
"peak_926",71,43
"peak_927",118,88
"peak_928",85,40
"peak_929",78,26
"peak_930",2708,1087
"peak_931",106,28
"peak_932",113,73
"peak_933",3991,2143
"peak_934",709,351
"peak_935",472,165
"peak_936",366,223
"peak_937",35,7
"peak_938",42,17
"peak_939",121,86
"peak_940",142,66
"peak_941",110,60
"peak_942",301,134
"peak_943",166,78
"peak_944",235,143
"peak_945",187,97
"peak_946",94,65
"peak_947",90,70
"peak_948",41,16
"peak_949",174,38
"peak_950",110,65
"peak_951",116,74
"peak_952",114,60
"peak_953",79,49
"peak_954",99,66
"peak_955",70,39
"peak_956",354,122
"peak_957",1027,404
"peak_958",69,18
"peak_959",41,18
"peak_960",364,140
"peak_961",416,149
"peak_962",145,89
"peak_963",125,97
"peak_964",40,9
"peak_965",449,308
"peak_966",179,123
"peak_967",81,50
"peak_968",1376,647
"peak_969",51,26
"peak_970",54,17
"peak_971",61,12
"peak_972",292,168
"peak_973",308,89
"peak_974",3995,2457
"peak_975",673,317
"peak_976",318,130
"peak_977",192,85
"peak_978",453,153
"peak_979",493,331
"peak_980",1113,726
"peak_981",208,117
"peak_982",304,117
"peak_983",164,94
"peak_984",37,12
"peak_985",109,76
"peak_986",270,131
"peak_987",438,231
"peak_988",55,28
"peak_989",751,454
"peak_990",1028,363
"peak_991",101,68
"peak_992",41,13
"peak_993",44,20
"peak_994",106,51
"peak_995",54,15
"peak_996",145,92
"peak_997",78,27
"peak_998",168,117
"peak_999",115,60
"peak_1000",104,32
"peak_1001",28,6
"peak_1002",68,16
"peak_1003",365,108
"peak_1004",63,18
"peak_1005",37,12
"peak_1006",113,63
"peak_1007",119,60
"peak_1008",94,73
"peak_1009",374,219
"peak_1010",1060,773
"peak_1011",2581,988
"peak_1012",133,50
"peak_1013",260,86
"peak_1014",234,100
"peak_1015",357,90
"peak_1016",120,82
"peak_1017",313,214
"peak_1018",47,17
"peak_1019",57,20
"peak_1020",50,25
"peak_1021",372,230
"peak_1022",283,104
"peak_1023",42,13
"peak_1024",80,21
"peak_1025",192,63
"peak_1026",265,194
"peak_1027",1441,618
"peak_1028",1487,811
"peak_1029",942,504
"peak_1030",165,114
"peak_1031",65,34
"peak_1032",92,72
"peak_1033",57,26
"peak_1034",333,246
"peak_1035",41,19
"peak_1036",686,289
"peak_1037",474,226
"peak_1038",61,31
"peak_1039",288,77
"peak_1040",1091,521
"peak_1041",438,310
"peak_1042",1618,587
"peak_1043",1744,831
"peak_1044",527,332
"peak_1045",311,188
"peak_1046",132,97
"peak_1047",433,195
"peak_1048",97,66
"peak_1049",710,181
"peak_1050",238,159
"peak_1051",481,188
"peak_1052",346,203
"peak_1053",2405,1041
"peak_1054",7672,2405
"peak_1055",3032,1627
"peak_1056",104,75
"peak_1057",68,23
"peak_1058",69,20
"peak_1059",1839,815
"peak_1060",730,443
"peak_1061",314,116
"peak_1062",87,53
"peak_1063",99,73
"peak_1064",1442,786
"peak_1065",67,37
"peak_1066",258,88
"peak_1067",243,153
"peak_1068",802,306
"peak_1069",971,627
"peak_1070",576,278
"peak_1071",6344,2468
"peak_1072",561,313
"peak_1073",83,42
"peak_1074",66,14
"peak_1075",272,165
"peak_1076",111,54
"peak_1077",129,75
"peak_1078",702,494
"peak_1079",179,135
"peak_1080",191,124
"peak_1081",335,196
"peak_1082",59,35
"peak_1083",920,261
"peak_1084",192,89
"peak_1085",556,401
"peak_1086",378,263
"peak_1087",338,216
"peak_1088",92,62
"peak_1089",720,332
"peak_1090",127,80
"peak_1091",1011,331
"peak_1092",643,449
"peak_1093",2227,1626
"peak_1094",8026,3321
"peak_1095",691,503
"peak_1096",2646,1604
"peak_1097",86,15
"peak_1098",3744,2200
"peak_1099",451,312
"peak_1100",73,25
"peak_1101",617,333
"peak_1102",148,109
"peak_1103",140,93
"peak_1104",45,19
"peak_1105",461,291
"peak_1106",171,80
"peak_1107",49,26
"peak_1108",57,32
"peak_1109",156,57
"peak_1110",10565,6218
"peak_1111",43,15
"peak_1112",4081,3105
"peak_1113",73,25
"peak_1114",158,75
"peak_1115",79,34
"peak_1116",850,341
"peak_1117",253,149
"peak_1118",837,516
"peak_1119",620,429
"peak_1120",1966,880
"peak_1121",408,274
"peak_1122",187,76
"peak_1123",121,87
"peak_1124",764,401
"peak_1125",95,71
"peak_1126",200,126
"peak_1127",713,266
"peak_1128",811,364
"peak_1129",158,78
"peak_1130",151,61
"peak_1131",71,28
"peak_1132",83,28
"peak_1133",1931,983
"peak_1134",286,214
"peak_1135",349,256
"peak_1136",39,14
"peak_1137",138,64
"peak_1138",214,149
"peak_1139",62,38
"peak_1140",108,69
"peak_1141",534,258
"peak_1142",147,103
"peak_1143",404,261
"peak_1144",165,111
"peak_1145",80,55
"peak_1146",673,351
"peak_1147",362,219
"peak_1148",249,136
"peak_1149",170,59
"peak_1150",491,344
"peak_1151",52,21
"peak_1152",50,21
"peak_1153",95,51
"peak_1154",62,17
"peak_1155",525,360
"peak_1156",207,160
"peak_1157",1280,399
"peak_1158",147,104
"peak_1159",640,335
"peak_1160",337,217
"peak_1161",189,120
"peak_1162",664,179
"peak_1163",494,305
"peak_1164",236,174
"peak_1165",326,153
"peak_1166",765,259
"peak_1167",379,137
"peak_1168",126,94
"peak_1169",767,223
"peak_1170",96,71
"peak_1171",885,236
"peak_1172",2195,1056
"peak_1173",825,558
"peak_1174",4456,1553
"peak_1175",56,31
"peak_1176",59,25
"peak_1177",191,63
"peak_1178",488,347
"peak_1179",305,207
"peak_1180",404,267
"peak_1181",366,222
"peak_1182",113,49
"peak_1183",209,79
"peak_1184",69,21
"peak_1185",2230,1221
"peak_1186",60,22
"peak_1187",69,29
"peak_1188",281,99
"peak_1189",43,21
"peak_1190",51,15
"peak_1191",797,499
"peak_1192",1153,658
"peak_1193",163,70
"peak_1194",46,19
"peak_1195",1208,744
"peak_1196",105,68
"peak_1197",886,386
"peak_1198",724,277
"peak_1199",47,24
"peak_1200",294,147
"peak_1201",209,79
"peak_1202",210,144
"peak_1203",1850,1075
"peak_1204",162,104
"peak_1205",68,40
"peak_1206",299,100
"peak_1207",273,144
"peak_1208",370,83
"peak_1209",78,33
"peak_1210",115,58
"peak_1211",95,32
"peak_1212",98,35
"peak_1213",232,154
"peak_1214",608,258
"peak_1215",59,27
"peak_1216",945,335
"peak_1217",42,14
"peak_1218",55,22
"peak_1219",99,44
"peak_1220",50,18
"peak_1221",253,75
"peak_1222",180,126
"peak_1223",103,68
"peak_1224",548,280
"peak_1225",430,232
"peak_1226",504,141
"peak_1227",231,120
"peak_1228",154,51
"peak_1229",291,172
"peak_1230",246,150
"peak_1231",65,36
"peak_1232",79,50
"peak_1233",121,94
"peak_1234",3458,2085
"peak_1235",1348,982
"peak_1236",526,394
"peak_1237",215,105
"peak_1238",255,137
"peak_1239",380,249
"peak_1240",429,200
"peak_1241",586,310
"peak_1242",123,95
"peak_1243",177,116
"peak_1244",81,38
"peak_1245",615,142
"peak_1246",52,12
"peak_1247",557,291
"peak_1248",1554,513
"peak_1249",167,55
"peak_1250",57,9
"peak_1251",70,33
"peak_1252",52,20
"peak_1253",74,31
"peak_1254",133,52
"peak_1255",85,31
"peak_1256",57,26
"peak_1257",268,113
"peak_1258",108,41
"peak_1259",127,85
"peak_1260",415,312
"peak_1261",305,150
"peak_1262",49,6
"peak_1263",47,14
"peak_1264",110,22
"peak_1265",614,300
"peak_1266",428,291
"peak_1267",259,142
"peak_1268",243,164
"peak_1269",3965,1223
"peak_1270",35,8
"peak_1271",129,26
"peak_1272",1239,626
"peak_1273",281,179
"peak_1274",25903,14415
"peak_1275",13446,9842
"peak_1276",30666,21443
"peak_1277",165,119
"peak_1278",229,113
"peak_1279",377,224
"peak_1280",118,95
"peak_1281",448,318
"peak_1282",197,123
"peak_1283",561,317
"peak_1284",432,293
"peak_1285",553,282
"peak_1286",2291,1019
"peak_1287",363,239
"peak_1288",178,129
"peak_1289",306,95
"peak_1290",273,154
"peak_1291",568,279
"peak_1292",386,287
"peak_1293",465,335
"peak_1294",38,15
"peak_1295",168,62
"peak_1296",84,22
"peak_1297",71,34
"peak_1298",95,35
"peak_1299",102,26
"peak_1300",63,22
"peak_1301",102,26
"peak_1302",41,15
"peak_1303",183,89
"peak_1304",524,314
"peak_1305",226,60
"peak_1306",342,75
"peak_1307",66,39
"peak_1308",69,35
"peak_1309",66,17
"peak_1310",87,51
"peak_1311",535,249
"peak_1312",493,267
"peak_1313",116,77
"peak_1314",166,96
"peak_1315",626,349
"peak_1316",113,81
"peak_1317",1065,763
"peak_1318",289,207
"peak_1319",148,83
"peak_1320",88,53
"peak_1321",468,312
"peak_1322",344,225
"peak_1323",74,39
"peak_1324",2462,845
"peak_1325",377,213
"peak_1326",153,91
"peak_1327",287,190
"peak_1328",72,51
"peak_1329",208,143
"peak_1330",140,75
"peak_1331",96,71
