"","RPKM.input","RPKM.IP"
"peak_1",0.000122787766221483,0.00014146018467083
"peak_2",3.08184792198999e-05,4.67566716159595e-05
"peak_3",1.6767236984026e-05,3.30332848819247e-05
"peak_4",4.0447734755312e-05,4.42516475124136e-05
"peak_5",8.33401128200109e-05,5.91510042410572e-05
"peak_6",4.70647604871718e-05,3.3580705542207e-05
"peak_7",2.0223867377656e-05,4.01408387271074e-05
"peak_8",5.24715886794226e-05,6.41158152241094e-05
"peak_9",1.57998963887937e-05,3.08310658897963e-05
"peak_10",2.0223867377656e-05,1.34931253070638e-05
"peak_11",7.94509075550771e-05,5.91231028239624e-05
"peak_12",7.94509075550771e-05,5.80349475572637e-05
"peak_13",1.75411094602118e-05,1.74450288788203e-05
"peak_14",4.43686886346534e-05,4.09353647948557e-05
"peak_15",3.94562230788826e-06,5.94429290934377e-06
"peak_16",4.71383374967922e-05,5.5934998796968e-05
"peak_17",2.61485470633984e-06,3.20989754188405e-06
"peak_18",4.21330570367833e-06,1.08815526669869e-05
"peak_19",8.12224110895782e-07,1.33099799825046e-06
"peak_20",0.0002527983422207,0.00027445693948956
"peak_21",1.32418179258462e-05,1.84381864635057e-05
"peak_22",8.09072378361274e-06,8.68012517563453e-06
"peak_23",8.04827375233248e-05,7.61708686689086e-05
"peak_24",1.15564956443748e-05,1.52341737337817e-05
"peak_25",2.54242904176247e-05,2.03122316450423e-05
"peak_26",1.00139787692308e-06,1.96582961381581e-06
"peak_27",2.16684293332028e-05,1.72032165973317e-05
"peak_28",0.000104730741777147,0.000183172803227614
"peak_29",1.85729394284596e-05,2.48721203816845e-05
"peak_30",0.000136122184272685,0.000206749500672752
"peak_31",1.00425135948519e-05,7.68720198306763e-06
"peak_32",3.50822189204237e-05,3.67900113979083e-05
"peak_33",0.000318706481442525,0.000228059207978935
"peak_34",0.000412794522448693,0.00053176718992811
"peak_35",0.000166752695303344,0.00014114477734715
"peak_36",6.50052879996085e-05,4.61641628296416e-05
"peak_37",2.28129430881329e-05,1.41100314144846e-05
"peak_38",3.45772808508556e-05,2.40783293056732e-05
"peak_39",1.65092794919641e-05,1.50269060639344e-05
"peak_40",0.000300950407405595,0.000544077633349347
