"","log2Expr.MLE","log2Expr.MLE.SE","log2AbsMod.MLE","log2AbsMod.MLE.SE","log2fcMod.MLE","log2fcMod.MLE.SE","log2fcMod.pvalue","log2fcMod.padj"
"peak_1",4.72095925264929,0.24742014265449,6.6519055851791,0.163353044765403,1.93094633252981,0.296480922980238,3.68603296446043e-11,4.86814360650996e-11
"peak_2",6.78324363636085,0.121068277592971,9.11133724404686,0.0696539728752587,2.32809360768601,0.139675350338496,1.12184999334877e-62,4.89229531071577e-62
"peak_3",5.65586430069872,0.178944290889709,8.36085683262255,0.090345067877171,2.70499253192384,0.200457699992538,8.47269543243879e-42,2.67672302692045e-41
"peak_4",5.44085137099538,0.192788228734721,7.29724072373464,0.130615471044038,1.85638935273926,0.232868417520218,7.8165681290268e-16,1.27135625655029e-15
"peak_5",6.86231519452993,0.117795556741087,8.0944238603091,0.0990847016538487,1.23210866577917,0.1539271605171,5.99806142424636e-16,9.79929125756076e-16
"peak_6",7.29170800255066,0.101507668958344,8.53141033552764,0.0851595952799719,1.23970233297698,0.132498917832207,4.1280956524806e-21,8.02587295852507e-21
"peak_7",5.02581389047267,0.222612664550157,7.74154281513859,0.111974851359434,2.71572892466593,0.249188208528539,5.87126079074287e-28,1.39725029022607e-27
"peak_8",7.58186376683977,0.0917964871589383,9.59772459157237,0.058848758133701,2.0158608247326,0.109040227768786,1.30625902149104e-76,6.80968561047344e-76
"peak_9",4.76277947594255,0.243859951821948,7.45396621790641,0.123710079024856,2.69118674196386,0.273444429664459,3.71822675579861e-23,7.74536028368091e-23
"peak_10",5.76277946173728,0.172435036696363,6.90566220337251,0.14960050474095,1.14288274163524,0.228285238763729,2.77315503241531e-07,2.88674905959561e-07
"peak_11",6.41485619890869,0.137555574325747,7.71523155546889,0.113000595899577,1.30037535656019,0.17801873422564,1.38931944825257e-13,2.05456762439006e-13
"peak_12",6.26285309734343,0.144996306372357,7.5364284008766,0.120224585770034,1.27357530353317,0.188355723750799,6.82649457298955e-12,9.34869353439684e-12
"peak_13",5.30592177774147,0.202017707068305,7.0247148651741,0.143553520785527,1.71879308743264,0.247828093514384,2.0250125312159e-12,2.84319558813981e-12
"peak_14",5.05976116991739,0.220008922592137,6.67028412358819,0.162315871633521,1.61052295367079,0.273405126329441,1.9238639848621e-09,2.31063680037137e-09
"peak_15",3.72095925221956,0.349904878558311,6.03892866521591,0.202017711686892,2.31796941299634,0.404035344849326,4.81710105475557e-09,5.66857641160965e-09
"peak_16",6.58769281509544,0.12955783840394,8.56126025824519,0.0842831440291787,1.97356744314975,0.154560283974892,1.22266506699625e-37,3.5802703531325e-37
"peak_17",3.80342137813625,0.340046427772807,5.82593494080884,0.217494457720197,2.02251356267258,0.403652561370267,2.71400648490085e-07,2.83008146891105e-07
"peak_18",2.44085169888998,0.545287109782973,5.53642824031152,0.240449174494175,3.09557654142154,0.595947790370116,1.02704145070971e-07,1.10258295555462e-07
"peak_19",3.88142393799539,0.33097688712136,6.32069964634216,0.183222452464422,2.43927570834677,0.37830695497918,5.67148731047919e-11,7.42051292935682e-11
"peak_20",6.34774201057432,0.140792618337783,8.19305188821369,0.0957550327002872,1.84530987763937,0.170269160269343,1.14185887971803e-27,2.69859614704723e-27
"peak_21",4.0929280223267,0.307583577025438,6.2972406801929,0.184718170242337,2.20431265786621,0.358787466839468,4.02892289902595e-10,5.02870381621131e-10
"peak_22",4.09292798674016,0.307583580818973,5.9210921885622,0.210438696458625,1.82816420182203,0.372682287475585,4.66131441985645e-07,4.77904848602799e-07
"peak_23",5.91889868703623,0.163353043942438,7.5661757393551,0.118991480736455,1.64727705231886,0.202096976577656,1.80577351621231e-16,3.00542026152401e-16
"peak_24",4.95542452980211,0.228110102813441,7.08074889337927,0.140792618829433,2.12532436357715,0.268061143018906,1.1089902976387e-15,1.79153762291444e-15
"peak_25",6.0929280898665,0.153791806737663,7.49578641393127,0.121929984276914,1.40285832406477,0.19626217026946,4.4064340967791e-13,6.37881770597834e-13
"peak_26",4.09292806920739,0.307583572027941,6.79276810720325,0.155569806903778,2.69984003799586,0.344687698421022,2.38725459767796e-15,3.80375310869142e-15
"peak_27",6.34774200162426,0.140792618774502,7.74154283171342,0.111974850716206,1.39380083008916,0.179891433092653,4.66714715466646e-15,7.35142979716156e-15
"peak_28",4.49147743680919,0.267901718091757,7.02471484839034,0.143553521620551,2.53323741158115,0.303939036995963,3.88510119876787e-17,6.62469742328504e-17
"peak_29",3.80342139265159,0.340046426062159,5.95146582542166,0.208235090246429,2.14804443277007,0.398739770566702,3.58050884341755e-08,3.97543153095943e-08
"peak_30",7.5701344766406,0.0921704050626363,9.89983314360449,0.0529987265749007,2.32969866696389,0.106321439477285,1.00155602442511e-106,7.22496154219053e-106
"peak_31",6.31999700873084,0.142152965536624,7.66112414895461,0.115139598225054,1.34112714022377,0.182933298277574,1.14020033947599e-13,1.69099130034462e-13
"peak_32",4.72095924434493,0.247420143366583,6.51625048471834,0.171216399393152,1.79529124037341,0.300884987306459,1.21048032074607e-09,1.46768417996974e-09
"peak_33",9.0970209322768,0.0542965442410365,10.3409180050744,0.0454857696938079,1.24389707279763,0.0708312779551442,2.43260274042847e-69,1.15654512689127e-68
"peak_34",10.5146105335376,0.0332203110999856,12.6066984709224,0.0207415690623166,2.09208793738473,0.0391637811612664,0,0
"peak_35",8.6860646047402,0.0626076322051357,10.1722472865379,0.0482239767008,1.4861826817977,0.0790270048952308,3.37125304905263e-79,1.8180556389128e-78
"peak_36",6.26285309648898,0.144996306415295,7.49578641645753,0.12192998417016,1.23293331996855,0.189448802222578,3.80782701182457e-11,5.01928680802118e-11
"peak_37",7.10110206089176,0.108439599841493,8.13468773275117,0.0977116370554085,1.03358567185941,0.145968182768527,7.16121492046731e-13,1.02903068207519e-12
"peak_38",7.44727771562678,0.0961796695380983,8.65190562866858,0.0816765227862534,1.2046279130418,0.126180755109755,6.68540745499499e-22,1.33485953957152e-21
"peak_39",4.63349638431132,0.255034845960143,6.22448435587694,0.18943513647388,1.59098797156562,0.317692357869018,2.75061727258573e-07,2.86507530459567e-07
"peak_40",6.59928079991169,0.129038565984166,9.18028459712168,0.0680092964066022,2.58100379721,0.145863688424881,2.30630556550034e-70,1.10736583402333e-69
"peak_41",6.90962091390637,0.115880054096112,8.34378332949707,0.0908812447629049,1.43416241559069,0.147267060618924,1.03275724351675e-22,2.11927599950514e-22
"peak_42",12.3239311351502,0.0177449103452447,13.8424901084357,0.0135156342701662,1.51855897328555,0.0223059232639132,0,0
"peak_43",9.65169674396381,0.0448007373203477,10.8300277893767,0.0383934545126636,1.17833104541291,0.0590013847467024,4.89913228581062e-89,2.94320271202359e-88
"peak_44",5.58769274762307,0.18322245031623,6.85835648478646,0.152073407973159,1.27066373716339,0.238110866209437,4.73952828180124e-08,5.21410601116121e-08
"peak_45",4.3883838711574,0.277646767777276,6.01035954009963,0.204027885600425,1.62197566894223,0.344550566570289,1.25379721971867e-06,1.26169383202377e-06
"peak_46",4.33393610279793,0.282935749669185,6.19939336389019,0.191089623836947,1.86545726109226,0.341420372980936,2.33006499499947e-08,2.61509835300381e-08
"peak_47",5.69958565038748,0.176253248036566,7.46453547398906,0.123257754866193,1.76494982360158,0.215075985852127,1.14179245678868e-16,1.91433142537498e-16
"peak_48",8.86951074895289,0.0587510839459246,10.4658512252169,0.0435583303995786,1.59634047626399,0.0731369809728565,6.46875768485692e-106,4.6110238096282e-105
"peak_49",7.79840346080239,0.0851595958146197,8.97383372531899,0.0730537028991806,1.1754302645166,0.112200713508322,5.55955026964642e-26,1.25770274890525e-25
