"","log2Expr.MLE","log2Expr.MLE.SE","log2AbsMod.MLE","log2AbsMod.MLE.SE","log2fcMod.MLE","log2fcMod.MLE.SE","log2fcMod.pvalue","log2fcMod.padj"
"peak_1",4.69855899181062,0.272643714986849,6.53506042779171,0.155569805777216,1.83650143598109,0.313905324254332,2.45056540243829e-09,3.06964206135259e-09
"peak_2",8.58120221676442,0.0709903821982038,9.79704602360207,0.0502281941220497,1.21584380683765,0.0869626689939537,1.01495771437326e-44,3.67511257405906e-44
"peak_3",6.04095128566235,0.171216398152481,8.11442024993777,0.089992843890147,2.07346896427541,0.193426383924449,4.11437090380717e-27,1.02180922654427e-26
"peak_4",5.38305721465814,0.215064271154637,7.21732014664946,0.122810356870228,1.83426293199132,0.247659083603787,6.48856351493751e-14,1.03675015518932e-13
"peak_5",5.93559828915903,0.177583479344939,8.29862025957277,0.0844273412109578,2.36302197041374,0.196631297562361,1.43722602545385e-33,4.16836328014687e-33
"peak_6",6.31746891010548,0.155569806466347,7.38492010847664,0.115880053274984,1.06745119837116,0.193984922432224,1.86952585094452e-08,2.2097063621885e-08
"peak_7",5.59164383841644,0.200065800798507,7.13116350591629,0.126532724557666,1.53951966749985,0.236721043571887,3.92314042788344e-11,5.432040592454e-11
"peak_8",4.53506022945175,0.288538984411966,6.1531897858663,0.177583481151843,1.61812955641456,0.338807656054942,8.94289325864525e-07,9.28348222932271e-07
"peak_9",5.74918515410336,0.189435134034904,8.0571629296726,0.0917964870590404,2.30797777556924,0.210504783398446,2.84582067078803e-28,7.28770468843535e-28
"peak_10",6.4147661198603,0.15041135493692,7.58452913482459,0.108134564318529,1.16976301496428,0.185247560405422,1.35436380718007e-10,1.82254523986711e-10
"peak_11",6.92462719297339,0.126048850946103,8.12002296331593,0.089818269609067,1.19539577034253,0.154776076535411,5.66386185487573e-15,9.46070539783725e-15
"peak_12",7.96801982989257,0.0877996243224844,9.49896466898767,0.0556946242451886,1.53094483909511,0.10397434830445,2.25202265072634e-49,8.86559673504646e-49
"peak_13",6.04095125936381,0.171216399713011,7.21732015657208,0.122810356447893,1.17636889720826,0.210706994219415,1.18229001704422e-08,1.41625398827246e-08
"peak_14",5.82194146451227,0.184718169080402,7.0860756201543,0.128525488250028,1.26413415564203,0.225032444024823,9.68342259809655e-09,1.16660866626336e-08
"peak_15",5.59164386212572,0.200065799154564,7.7235055390128,0.103049645492001,2.13186167688709,0.2250456658707,1.35936205939815e-21,2.9085632580723e-21
