"","genes","logFC","logCPM","F","PValue","log10.pvalue","Significant.Gene","Differential_Gene"
"1","ENSG00000000003",-0.377463749658755,4.57494352076243,4.28802982894461,0.0724309060304115,1.14007608222235,"No","No"
"2","ENSG00000000419",-0.363243842183718,2.53985060821365,1.73274446449742,0.22481160072854,0.648181282060272,"No","No"
"3","ENSG00000000457",-0.0514177709215983,4.81506279195385,0.0864524082662032,0.776281119205711,0.10998097666602,"No","No"
"4","ENSG00000000460",0.262737188676673,4.0514650721808,1.33676301017228,0.281228404387399,0.550940817202286,"No","No"
"5","ENSG00000000938",-0.426783342144886,0.155237899717247,0.412334100604746,0.538892118320139,0.268498168222685,"No","No"
"6","ENSG00000000971",-1.04099197664395,2.0308597144766,9.80540546608278,0.0141310164202276,1.8498265989568,"Yes","Down-Regulated"
"7","ENSG00000001036",0.222402095174182,6.99361657206539,2.34807121966085,0.16428406506495,0.784404559449783,"No","No"
"8","ENSG00000001084",0.108174818715232,5.33163542277002,0.34983708373774,0.570667351591488,0.24361697313047,"No","No"
"9","ENSG00000001167",0.0430767202064676,4.59157512666797,0.0494121239243024,0.829704151327951,0.0810767369614409,"No","No"
"10","ENSG00000001460",-0.782440782931701,4.6304817541558,14.8595543103707,0.00492050310113055,2.30799049014435,"No","No"
"11","ENSG00000001461",-0.527864205132578,5.33783992295064,10.5998869870999,0.0117309515308473,1.93066675959494,"No","No"
"12","ENSG00000001497",0.0913055369098628,5.02637939566031,0.255145434591031,0.627203043230215,0.202591843093256,"No","No"
"13","ENSG00000001561",-0.254113354870612,3.16680904568383,0.757713187429453,0.409605812781863,0.387633888845764,"No","No"
"14","ENSG00000001617",-0.0631898546638354,4.8709392781765,0.102629290841147,0.756970525913469,0.120921030252029,"No","No"
"15","ENSG00000001629",-0.00765056493213229,6.90955474482489,0.00136957472476627,0.971392919377596,0.0126050664862539,"No","No"
"16","ENSG00000001630",-0.333464636326203,7.72263950158356,5.25180505988536,0.0513901988614263,1.28911970174948,"No","No"
"17","ENSG00000001631",-0.1808659291044,4.13200271891764,0.362986115855482,0.563669617801962,0.248975373334069,"No","No"
"18","ENSG00000002016",0.50445562287481,3.79161111621021,2.73814884417104,0.136884867282382,0.863644560770443,"No","No"
"19","ENSG00000002330",0.169450179497544,4.23045046189882,0.759396870594137,0.409108773951643,0.388161206304799,"No","No"
"20","ENSG00000002549",-0.158320954095367,6.46023092484876,0.863857564179966,0.380068410735117,0.42013822514443,"No","No"
"21","ENSG00000002586",-0.683842465129121,8.39037589816782,40.321613896009,0.000228427722414403,3.64125119043936,"No","No"
"22","ENSG00000002746",-0.816550069375388,2.57054739560545,8.06361892636505,0.0220058436021113,1.65746197794315,"No","No"
"23","ENSG00000002822",0.203375091971421,5.95848712134677,1.75927672398961,0.221618976029514,0.654393056073246,"No","No"
"24","ENSG00000002834",-0.369572462591843,9.1974782684502,10.4430407831652,0.0121614412058348,1.91501495543722,"No","No"
"25","ENSG00000002919",0.00596720832223414,4.39888505247295,0.00110504865185551,0.974302378550112,0.0113062372121379,"No","No"
"26","ENSG00000002933",-0.572905707436634,2.60052047472001,2.66200469651814,0.141726848488691,0.848547869964418,"No","No"
"27","ENSG00000003056",0.842776821699503,7.75299884709317,43.4472590544131,0.000177257296978559,3.75139587759881,"No","No"
"28","ENSG00000003096",-0.2181652194691,3.04934616430079,0.625441728081178,0.452020342953877,0.344842019538601,"No","No"
"29","ENSG00000003137",-0.140626052872589,2.70580545255404,0.120389022777154,0.737635560762102,0.132158154494449,"No","No"
"30","ENSG00000003147",0.280054992337945,1.95735770846495,0.545047599563275,0.481610662508234,0.317303906681235,"No","No"
"31","ENSG00000003249",-0.314969655982266,5.93571900598524,4.12860806212109,0.0769218960319549,1.11395001946649,"No","No"
"32","ENSG00000003393",-0.146395652004449,6.23832706721633,0.880475197674144,0.375751123304283,0.425099712420036,"No","No"
"33","ENSG00000003400",-0.920659417945335,1.72641785868823,6.20398935713281,0.0377084972963596,1.42356077411526,"No","No"
"34","ENSG00000003402",-0.562495895541339,5.78633369376554,13.9277685331828,0.00585642110087413,2.23236770325929,"No","No"
"35","ENSG00000003436",-0.997281841601992,4.47481794331581,28.3853740540004,0.000723703159175197,3.14043953154783,"No","No"
"36","ENSG00000003509",-0.467171765920238,3.33280508787132,3.73502528883027,0.0896578692735103,1.04741158639096,"No","No"
"37","ENSG00000003756",0.0311325289251668,6.75317884759675,0.0453757222827285,0.836685565991972,0.0774377231430187,"No","No"
"38","ENSG00000003987",0.666475074070265,-0.201726724543642,1.44755051762304,0.263588165411886,0.579074092604935,"No","No"
"39","ENSG00000003989",-0.629931603959602,1.62928408303916,1.35490746528654,0.27822546281771,0.55560312648205,"No","No"
"40","ENSG00000004059",-0.308820556839112,6.94433981282889,6.52779122708841,0.0341348356562224,1.46680218373855,"No","No"
"41","ENSG00000004139",-0.0739152170998491,4.40383281136013,0.137042631667906,0.720925213987296,0.142109784985444,"No","No"
"42","ENSG00000004142",-0.10095284946265,7.50709577936009,0.860614401913655,0.380920091649452,0.419166119850561,"No","No"
"43","ENSG00000004399",-0.186490643454558,4.21937893210045,0.845518384939816,0.384924361182742,0.414624602305155,"No","No"
"44","ENSG00000004455",-0.281650102220778,7.19141004011013,6.04886235506565,0.0395892889801373,1.40242229806532,"No","No"
"45","ENSG00000004468",-1.62904644307276,2.93971486755198,23.0454728884899,0.00138597892078488,2.85824337481543,"Yes","Down-Regulated"
"46","ENSG00000004478",0.356451245833571,8.86696736420291,10.3145540402183,0.0125290221122772,1.90208282428239,"No","No"
