"","logFC","logCPM","PValue"
"ENSG00000001036",-0.271520252780999,7.49365557686397,0.223029514032813
"ENSG00000001629",-0.0510556142444218,7.40719882362732,0.83897408151809
"ENSG00000001630",0.315073089485858,8.22276218655985,0.290817000993758
"ENSG00000002586",0.659845426263194,8.88796378338779,0.00129222200082293
"ENSG00000002834",0.357172518544759,9.69510834333582,0.0982842510319399
"ENSG00000003056",-0.843378258498869,8.25578412497833,0.0004604298269703
"ENSG00000003756",-0.0557815694144569,7.25108147491468,0.78248394654309
"ENSG00000004059",0.285211863595399,7.44165472922525,0.156079593948683
"ENSG00000004142",0.0768397007382765,8.00586472916272,0.696668238625446
"ENSG00000004455",0.259211204775103,7.6902581201993,0.189585657385773
"ENSG00000004478",-0.385982834882171,9.36702218377223,0.0588686422177437
"ENSG00000005007",-0.201099541403037,6.70277113736666,0.550542814166773
"ENSG00000005022",0.34272384110967,8.87343403985638,0.0924892620667928
"ENSG00000005339",-0.442048645745734,9.52494286397427,0.027610031149967
"ENSG00000005486",0.361147120184912,7.33410299709007,0.0773561076621391
"ENSG00000005810",0.702003416064829,7.75683292545133,0.00587459632114508
"ENSG00000005884",-0.1829550490658,8.08291253368319,0.389834596332682
"ENSG00000005893",-0.310950819243124,7.20960645072083,0.15662665221075
"ENSG00000006118",0.613934386236342,7.24675076678356,0.070425145201047
"ENSG00000006125",0.631818051201441,8.89076321050847,0.0103075755922495
"ENSG00000006451",0.0391260485378638,7.2950755181283,0.879811084256877
"ENSG00000006652",0.397934576416437,7.47473386702099,0.182192886808551
"ENSG00000006712",-0.193731924186716,7.28052563770706,0.363700740666977
"ENSG00000006744",-0.549963429228617,7.26794528654511,0.00700177540413834
"ENSG00000007047",0.110845965752504,7.58479650156985,0.602244339358054
"ENSG00000007168",-0.208828913541666,7.71726280666365,0.307718497244366
"ENSG00000007202",0.469768036968841,9.08806319153229,0.0188253285804365
"ENSG00000007923",-0.186237087114791,7.65430835582676,0.353036612078115
"ENSG00000008018",0.187127798836256,7.37146570010967,0.351090334504867
"ENSG00000008130",-0.0646594907706726,7.24860641205615,0.763794482938419
"ENSG00000008294",0.225872620225691,7.29709328362202,0.258226147906416
