Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,baseMeanCtrl,baseMeansiRNA,symbol,entrez,log10.pvalue,Significant.Gene,Differential_Gene
ENSG00000154096,330.7359091,1.400539846,0.278265488,2.86E-08,2.23E-06,397.5267222,263.945096,THY1,7070,5.650833965,Yes,Up-Regulated
ENSG00000154451,32.12227863,2.565502238,0.939396234,0.000287807,0.006961074,48.05036588,16.19419138,GBP5,115362,2.15732377,Yes,Up-Regulated
ENSG00000155254,402.1086413,1.416461542,0.256928439,2.20E-09,2.17E-07,378.8559682,425.3613145,MARVELD1,83742,6.662781708,Yes,Up-Regulated
ENSG00000156313,85.93320243,-1.207451659,0.653040143,0.001956718,0.029205421,120.7237212,51.14268364,RPGR,6103,1.534536524,Yes,Down-Regulated
ENSG00000156521,140.4668502,1.296811724,0.421919783,0.000109159,0.003185728,164.4951516,116.4385489,TYSND1,219743,2.496791351,Yes,Up-Regulated
ENSG00000156587,635.504184,1.222839744,0.225949123,4.23E-09,4.05E-07,764.1143461,506.8940218,UBE2L6,9246,6.392612904,Yes,Up-Regulated
ENSG00000157111,85.7551894,1.320590886,0.512906061,0.000471284,0.009979425,107.9007247,63.60965406,TMEM171,134285,2.0008945,Yes,Up-Regulated
ENSG00000157227,5182.763308,1.648078334,0.182870661,1.19E-20,5.67E-18,4620.50178,5745.024835,MMP14,4323,17.24618464,Yes,Up-Regulated
ENSG00000157514,1146.384463,-1.127448163,0.192021129,2.95E-10,3.28E-08,884.7917315,1407.977195,TSC22D3,1831,7.484412921,Yes,Down-Regulated
ENSG00000157601,1540.562111,2.120211022,0.210012982,2.15E-25,2.04E-22,1917.061246,1164.062977,MX1,4599,21.69031242,Yes,Up-Regulated
ENSG00000158290,260.2375745,-1.274512688,0.343473637,1.05E-05,0.000415428,299.7885319,220.686617,CUL4B,8450,3.381504672,Yes,Down-Regulated
ENSG00000158859,215.1629891,1.191043779,0.348841518,3.63E-05,0.001206323,194.3132787,236.0126995,ADAMTS4,9507,2.918536387,Yes,Up-Regulated
ENSG00000159167,1204.230675,2.676148125,0.273856445,3.20E-24,2.61E-21,1796.298954,612.1623954,STC1,6781,20.58328551,Yes,Up-Regulated
ENSG00000159403,788.813642,1.753931983,0.243810749,2.69E-14,5.93E-12,1195.421857,382.2054264,C1R,715,11.22714503,Yes,Up-Regulated
ENSG00000159674,1111.914689,1.360721025,0.228366545,1.34E-10,1.57E-08,1121.774951,1102.054426,SPON2,10417,7.802753189,Yes,Up-Regulated
ENSG00000160013,87.53746024,2.015754119,0.558523112,1.02E-05,0.000405954,88.93664585,86.13827462,PTGIR,5739,3.391522911,Yes,Up-Regulated
ENSG00000160285,1749.037289,1.023110751,0.230942694,6.12E-07,3.42E-05,2264.48483,1233.589747,LSS,4047,4.466056751,Yes,Up-Regulated
ENSG00000160877,2196.623732,1.020096834,0.206972883,5.73E-08,4.21E-06,1906.779286,2486.468179,NACC1,112939,5.376009443,Yes,Up-Regulated
ENSG00000160932,3496.9629,1.516460691,1.058738053,0.002308557,0.033138532,4946.388761,2047.537038,LY6E,4061,1.479666734,Yes,Up-Regulated
ENSG00000161249,783.847551,1.251338457,0.276395092,2.84E-07,1.75E-05,884.9873007,682.7078014,DMKN,93099,4.757932987,Yes,Up-Regulated
ENSG00000162576,212.6209723,1.447919269,0.352124264,2.03E-06,9.93E-05,152.3777586,272.864186,MXRA8,54587,4.003108405,Yes,Up-Regulated
ENSG00000162645,146.2311175,2.492382216,0.473445246,4.08E-09,3.93E-07,207.4264425,85.03579255,GBP2,2634,6.40542678,Yes,Up-Regulated
ENSG00000162654,254.3221226,2.158265843,0.307757665,1.28E-13,2.48E-11,370.6154127,138.0288324,GBP4,115361,10.60552505,Yes,Up-Regulated
ENSG00000162772,1354.026589,-1.051740769,0.18293427,7.25E-10,7.71E-08,1372.566373,1335.486804,ATF3,467,7.112721781,Yes,Down-Regulated
ENSG00000163131,56.50163408,1.159724912,0.735328369,0.003677809,0.045768708,71.95314453,41.05012363,CTSS,1520,1.33943135,Yes,Up-Regulated
ENSG00000163565,301.4315913,1.295900248,0.336936823,7.39E-06,0.000303196,385.9285287,216.9346538,IFI16,3428,3.518276011,Yes,Up-Regulated
ENSG00000163637,285.4951707,1.130252127,0.328126485,3.18E-05,0.001080382,315.1624977,255.8278438,PRICKLE2,166336,2.96642253,Yes,Up-Regulated
ENSG00000163661,167.0868495,1.223068423,0.39275905,9.31E-05,0.002802144,158.9761525,175.1975465,PTX3,5806,2.552509553,Yes,Up-Regulated
ENSG00000163734,152.713107,2.852747222,0.437697059,2.76E-12,4.27E-10,129.4190678,176.0071462,CXCL3,2921,9.370067498,Yes,Up-Regulated
ENSG00000163735,307.2963117,3.758440285,0.363916003,1.07E-26,1.66E-23,312.3240561,302.2685673,CXCL5,6374,22.78056063,Yes,Up-Regulated
ENSG00000163739,1219.151562,2.645872625,0.26261265,9.66E-26,9.94E-23,1713.085347,725.2177773,CXCL1,2919,22.00261071,Yes,Up-Regulated
ENSG00000163840,499.5845542,1.042642628,0.252905923,2.72E-06,0.000125561,600.3768082,398.7923002,DTX3L,151636,3.901146136,Yes,Up-Regulated
ENSG00000164054,1411.944594,1.268960761,0.218199692,3.35E-10,3.66E-08,1598.63122,1225.257968,SHISA5,51246,7.436369426,Yes,Up-Regulated
ENSG00000164125,62.42640976,1.385681406,0.625087018,0.001021111,0.017982329,66.3707365,58.48208302,GASK1B,51313,1.745154062,Yes,Up-Regulated
ENSG00000164692,6020.777742,1.304626696,0.185319858,1.09E-13,2.21E-11,7830.849477,4210.706006,COL1A2,1278,10.65645835,Yes,Up-Regulated
ENSG00000164761,209.7622257,1.723002266,0.329960667,9.74E-09,8.71E-07,283.938951,135.5855003,TNFRSF11B,4982,6.05978607,Yes,Up-Regulated
ENSG00000164850,97.51176901,1.022862867,0.490413479,0.001875988,0.028456354,108.0186081,87.0049299,GPER1,2852,1.545820747,Yes,Up-Regulated
ENSG00000165338,58.35041235,1.470999457,0.704471561,0.001358819,0.022247509,48.69427485,68.00654985,HECTD2,143279,1.652718615,Yes,Up-Regulated
ENSG00000165424,705.6415644,1.228144683,0.238713721,1.67E-08,1.38E-06,831.8641355,579.4189932,ZCCHC24,219654,5.859193171,Yes,Up-Regulated
ENSG00000165949,181.5687074,1.901551986,0.436818279,5.04E-07,2.89E-05,250.3107447,112.8266701,IFI27,3429,4.538763559,Yes,Up-Regulated
ENSG00000166170,142.1831959,1.699305217,0.516780924,3.01E-05,0.001027908,128.9446371,155.4217547,BAG5,9529,2.988045595,Yes,Up-Regulated
ENSG00000166250,1179.099678,1.657402837,0.190460093,2.10E-19,7.92E-17,1235.379018,1122.820338,CLMP,79827,16.10143263,Yes,Up-Regulated
ENSG00000166396,85.49416133,2.246611334,0.526858408,1.12E-06,5.92E-05,122.9300716,48.05825105,SERPINB7,8710,4.22745481,Yes,Up-Regulated
ENSG00000166592,203.324507,1.535770352,0.354117361,7.21E-07,3.97E-05,135.9691073,270.6799067,RRAD,6236,4.401022413,Yes,Up-Regulated
ENSG00000166741,249.0391573,1.991889786,0.44666409,2.11E-07,1.37E-05,329.4821558,168.5961588,NNMT,4837,4.862727023,Yes,Up-Regulated
ENSG00000166825,2667.878063,1.351055383,0.205544815,2.81E-12,4.29E-10,2906.908515,2428.84761,ANPEP,290,9.367749029,Yes,Up-Regulated
ENSG00000166963,948.1819041,1.325667235,0.207955065,1.21E-11,1.67E-09,1008.572469,887.7913396,MAP1A,4130,8.77668369,Yes,Up-Regulated
ENSG00000167110,362.6983423,1.797048971,0.371742814,4.51E-08,3.37E-06,430.4927934,294.9038911,GOLGA2,2801,5.471956368,Yes,Up-Regulated
ENSG00000167779,1788.423983,1.533664033,0.206967347,6.64E-15,1.55E-12,1908.360967,1668.487,IGFBP6,3489,11.81049686,Yes,Up-Regulated
ENSG00000167996,24254.35905,1.050403161,0.175816497,1.65E-10,1.90E-08,24358.92615,24149.79196,FTH1,2495,7.720556563,Yes,Up-Regulated
ENSG00000168000,145.9620138,1.068605945,0.489137389,0.001288103,0.021339288,201.4233179,90.50070976,BSCL2,26580,1.670820078,Yes,Up-Regulated
ENSG00000168062,156.3940907,2.789864979,0.397394664,1.06E-13,2.19E-11,195.3192107,117.4689706,BATF2,116071,10.65969584,Yes,Up-Regulated
ENSG00000168398,104.06162,2.694158851,0.525803002,8.97E-09,8.08E-07,127.099898,81.02334199,BDKRB2,624,6.092640446,Yes,Up-Regulated
ENSG00000168679,84.27756272,1.148222705,0.55612939,0.001759206,0.027045333,111.6348241,56.92030134,SLC16A4,9122,1.567907662,Yes,Up-Regulated
ENSG00000168685,204.4452648,1.902200918,0.368827845,1.63E-08,1.37E-06,326.1819546,82.70857496,IL7R,3575,5.864679525,Yes,Up-Regulated
