"","SRR7992451Aligned.sortedByCoord.out_sorted.bam","SRR7992456Aligned.sortedByCoord.out_sorted.bam"
"peak_309",930,423
"peak_310",954,442
"peak_311",445,145
"peak_312",130,49
"peak_313",142,76
"peak_314",224,114
"peak_315",463,198
"peak_316",378,119
"peak_317",1404,214
"peak_318",145,51
"peak_319",76,41
"peak_320",1636,551
"peak_321",440,169
"peak_322",169,81
"peak_323",97,23
"peak_324",3955,1787
"peak_325",2422,1553
"peak_326",3723,1803
"peak_327",501,301
"peak_328",1272,759
"peak_329",1837,493
"peak_330",372,114
"peak_331",65,24
"peak_332",211,34
"peak_333",475,179
"peak_334",213,116
"peak_335",117,71
"peak_336",1343,507
"peak_337",794,169
"peak_338",970,341
"peak_339",100,70
"peak_340",683,282
"peak_341",294,181
"peak_342",152,85
"peak_343",85,47
"peak_344",1074,443
"peak_345",712,273
"peak_346",1129,750
"peak_347",1436,266
"peak_348",206,111
"peak_349",110,35
"peak_350",533,304
"peak_351",49,16
"peak_352",2466,1217
"peak_353",136,72
"peak_354",169,67
"peak_355",230,137
"peak_356",1700,1064
"peak_357",908,516
"peak_358",648,216
"peak_359",150,85
"peak_360",1187,727
"peak_361",112,39
"peak_362",321,184
"peak_363",212,33
"peak_364",90,54
"peak_365",1143,592
"peak_366",153,73
"peak_367",62,32
"peak_368",165,98
"peak_369",838,371
"peak_370",187,105
"peak_371",97,45
"peak_372",4871,1106
"peak_373",232,114
"peak_374",62,13
"peak_375",124,26
"peak_376",670,228
"peak_377",91,45
"peak_378",337,153
"peak_379",109,70
"peak_380",2395,535
"peak_381",1100,306
"peak_382",404,215
"peak_383",113,68
"peak_384",1085,597
"peak_385",308,135
"peak_386",346,216
"peak_387",36,6
"peak_388",98,35
"peak_389",48,16
"peak_390",216,129
"peak_391",2560,1406
"peak_392",1325,763
"peak_393",973,407
"peak_394",117,17
"peak_395",33,6
"peak_396",70,19
"peak_397",58,14
"peak_398",2655,1012
"peak_399",474,251
"peak_400",868,367
"peak_401",87,35
"peak_402",477,184
"peak_403",364,215
"peak_404",4563,2724
"peak_405",227,99
