"","RPKM.input","RPKM.IP"
"peak_1",5.81521950399338e-05,3.81314978207253e-05
"peak_2",8.21715799477325e-05,8.73846825058289e-05
"peak_3",4.2139271768068e-06,5.92193716155204e-06
"peak_4",0.00011798996095059,0.000141404304418523
"peak_5",1.89626722956306e-05,3.09818419793393e-05
"peak_6",3.44137386105889e-05,5.32252157080958e-05
"peak_7",0.000216595856887869,0.00013790891711829
"peak_8",4.52997171506731e-05,2.6016803200599e-05
"peak_9",6.9295691351934e-05,5.52553648976251e-05
"peak_10",0.000116936479156389,7.26881677207576e-05
"peak_11",6.35330558964717e-05,4.81532376325826e-05
"peak_12",2.84440084434459e-05,2.78042171609455e-05
"peak_13",5.68880168868918e-05,4.76643722759067e-05
"peak_14",1.21768033886517e-06,2.12516912455137e-06
"peak_15",6.90061225129625e-06,7.8714230746579e-06
"peak_16",5.13758819406177e-06,4.66562637205169e-06
"peak_17",2.2875604674094e-05,2.81446769629163e-05
"peak_18",5.00403852245807e-06,1.35049054781736e-05
"peak_19",7.95964022285728e-06,1.53585199555699e-05
"peak_20",8.70878283206738e-05,5.7197246731088e-05
"peak_21",2.49825682624974e-05,1.47532580853997e-05
"peak_22",8.98093229556949e-05,5.77930513845368e-05
"peak_23",4.25518962162253e-06,2.45517217455456e-06
"peak_24",0.000152303367961731,0.000114167520260862
"peak_25",1.77844025693196e-05,1.79237499828819e-05
"peak_26",2.94974902376476e-05,3.574827920693e-05
"peak_27",5.19590568180929e-05,3.32500334503874e-05
"peak_28",8.21715799477325e-05,5.7197246731088e-05
"peak_29",9.13017554974806e-06,1.17836920348769e-05
"peak_30",3.73986036941603e-05,4.07133179856703e-05
"peak_31",1.20334731987722e-07,1.32433733787096e-07
"peak_32",9.55156826742874e-06,9.00327031878237e-06
"peak_33",1.53816599476157e-07,1.92298435755406e-07
"peak_34",1.40464239226893e-06,5.03123929579015e-06
"peak_35",6.31118125558622e-06,1.04334455442653e-05
"peak_36",0.000406643972561856,0.000293930295701424
