"","SRR7992452.sorted.bam","SRR7992457.sorted.bam"
"peak_1",832,307
"peak_2",96,17
"peak_3",179,28
"peak_4",209,30
"peak_5",263,93
"peak_6",198,67
"peak_7",302,106
"peak_8",507,178
"peak_9",527,78
"peak_10",429,154
"peak_11",2175,549
"peak_12",222,62
"peak_13",202,75
"peak_14",322,90
"peak_15",411,87
"peak_16",254,95
"peak_17",241,92
"peak_18",506,198
"peak_19",366,138
"peak_20",1340,508
"peak_21",1642,576
"peak_22",78,16
"peak_23",603,153
"peak_24",356,135
"peak_25",210,57
"peak_26",682,217
"peak_27",1416,344
"peak_28",261,110
"peak_29",690,188
"peak_30",746,174
"peak_31",362,111
"peak_32",1625,528
"peak_33",539,112
"peak_34",190,71
"peak_35",94,22
"peak_36",169,53
"peak_37",136,27
"peak_38",431,61
"peak_39",154,44
"peak_40",84,19
"peak_41",224,80
"peak_42",230,85
"peak_43",1284,391
"peak_44",5444,1040
"peak_45",747,267
"peak_46",389,127
"peak_47",220,67
"peak_48",335,126
"peak_49",66,9
"peak_50",580,196
"peak_51",180,19
"peak_52",66,5
"peak_53",576,214
"peak_54",10721,3350
"peak_55",107,33
"peak_56",285,88
"peak_57",1324,378
"peak_58",865,298
"peak_59",2950,645
"peak_60",184,64
"peak_61",299,79
"peak_62",164,50
"peak_63",329,64
"peak_64",117,23
"peak_65",176,14
"peak_66",1133,401
"peak_67",1086,209
"peak_68",182,59
"peak_69",287,68
"peak_70",218,51
"peak_71",229,82
"peak_72",229,86
"peak_73",436,160
"peak_74",979,201
"peak_75",2784,652
"peak_76",4820,896
"peak_77",163,37
"peak_78",176,45
"peak_79",1941,369
"peak_80",106,11
"peak_81",265,65
"peak_82",360,116
"peak_83",308,103
"peak_84",177,42
"peak_85",340,102
"peak_86",393,51
"peak_87",146,21
"peak_88",2840,718
"peak_89",13895,2093
"peak_90",83,14
"peak_91",117,17
"peak_92",71,13
"peak_93",93,21
"peak_94",417,129
"peak_95",477,141
"peak_96",103,28
"peak_97",173,50
"peak_98",473,129
"peak_99",154,37
"peak_100",2861,644
"peak_101",177,42
"peak_102",164,53
"peak_103",134,25
"peak_104",267,86
"peak_105",632,122
"peak_106",283,63
"peak_107",83,14
"peak_108",380,78
"peak_109",1427,522
"peak_110",698,232
"peak_111",305,105
"peak_112",777,257
"peak_113",658,155
"peak_114",58,8
"peak_115",84,13
"peak_116",173,40
"peak_117",5228,890
"peak_118",119,10
"peak_119",1383,393
"peak_120",169,30
"peak_121",98,15
"peak_122",2270,708
"peak_123",583,140
"peak_124",612,160
"peak_125",452,82
"peak_126",2415,664
"peak_127",3088,1021
"peak_128",1232,299
"peak_129",2442,602
"peak_130",1099,375
"peak_131",1912,522
"peak_132",157,46
"peak_133",120,26
"peak_134",95,24
"peak_135",5123,625
"peak_136",533,195
"peak_137",1762,192
"peak_138",272,97
"peak_139",3509,692
"peak_140",570,179
"peak_141",683,155
"peak_142",330,79
"peak_143",228,54
"peak_144",104,19
"peak_145",278,88
"peak_146",216,73
"peak_147",767,273
"peak_148",225,62
"peak_149",197,59
"peak_150",459,171
"peak_151",828,164
"peak_152",475,124
"peak_153",124,39
"peak_154",233,39
"peak_155",60,4
"peak_156",1451,307
"peak_157",1902,385
"peak_158",242,89
"peak_159",214,85
"peak_160",153,45
"peak_161",285,100
"peak_162",161,14
"peak_163",104,24
"peak_164",228,73
"peak_165",80,19
"peak_166",66,13
"peak_167",1132,287
"peak_168",3513,1217
"peak_169",6670,1797
"peak_170",322,88
"peak_171",179,65
"peak_172",205,74
"peak_173",177,67
"peak_174",1232,256
"peak_175",492,136
"peak_176",292,100
"peak_177",204,50
"peak_178",5672,833
"peak_179",3578,539
"peak_180",1220,420
"peak_181",142,22
"peak_182",108,34
"peak_183",613,163
"peak_184",164,42
"peak_185",345,65
"peak_186",395,61
"peak_187",6476,663
"peak_188",142,52
