"","SRR7992454Aligned.sortedByCoord.out_sorted.bam","SRR7992461Aligned.sortedByCoord.out_sorted.bam"
"peak_1",106,34
"peak_2",176,66
"peak_3",133,28
"peak_4",96,14
"peak_5",437,80
"peak_6",259,50
"peak_7",105,18
"peak_8",482,75
"peak_9",127,47
"peak_10",228,79
"peak_11",218,56
"peak_12",500,185
"peak_13",352,43
"peak_14",1038,214
"peak_15",134,35
"peak_16",196,52
"peak_17",210,33
"peak_18",115,27
"peak_19",368,129
"peak_20",566,210
"peak_21",276,106
"peak_22",317,116
"peak_23",270,116
"peak_24",166,55
"peak_25",198,55
"peak_26",220,47
"peak_27",264,78
"peak_28",323,81
"peak_29",119,27
"peak_30",380,83
"peak_31",98,17
"peak_32",215,67
"peak_33",151,25
"peak_34",96,19
"peak_35",209,58
"peak_36",86,22
"peak_37",266,97
"peak_38",192,78
"peak_39",179,30
"peak_40",714,98
"peak_41",360,88
"peak_42",315,89
"peak_43",240,77
"peak_44",99,22
"peak_45",746,280
"peak_46",1691,555
"peak_47",10088,1886
"peak_48",1763,539
"peak_49",340,126
"peak_50",213,66
"peak_51",92,9
"peak_52",838,257
"peak_53",186,38
"peak_54",809,86
"peak_55",636,237
"peak_56",16024,5257
"peak_57",109,33
"peak_58",94,29
"peak_59",247,68
"peak_60",272,73
"peak_61",1984,521
"peak_62",1179,393
"peak_63",226,84
"peak_64",4224,868
"peak_65",734,168
"peak_66",255,97
"peak_67",207,50
"peak_68",575,104
"peak_69",353,83
"peak_70",840,313
"peak_71",311,61
"peak_72",293,32
"peak_73",89,7
"peak_74",2160,605
"peak_75",1914,394
"peak_76",235,70
"peak_77",181,41
"peak_78",714,247
"peak_79",1096,287
"peak_80",8441,1569
"peak_81",57,8
"peak_82",189,24
"peak_83",55,6
"peak_84",278,79
"peak_85",2594,460
"peak_86",98,22
"peak_87",210,48
"peak_88",113,35
"peak_89",306,106
"peak_90",220,80
"peak_91",590,84
"peak_92",105,15
"peak_93",2138,651
"peak_94",12425,1934
"peak_95",136,28
"peak_96",113,18
"peak_97",116,26
"peak_98",82,10
"peak_99",94,26
"peak_100",528,166
"peak_101",588,203
"peak_102",215,85
"peak_103",229,68
"peak_104",160,51
"peak_105",432,139
"peak_106",1921,454
"peak_107",250,80
"peak_108",186,60
"peak_109",360,135
"peak_110",383,94
"peak_111",663,137
"peak_112",866,180
"peak_113",275,105
"peak_114",237,94
"peak_115",1075,387
"peak_116",212,79
"peak_117",247,91
"peak_118",111,32
"peak_119",1402,464
"peak_120",1013,249
"peak_121",81,21
"peak_122",132,39
"peak_123",7419,1309
"peak_124",124,16
"peak_125",104,34
"peak_126",1868,494
"peak_127",173,47
"peak_128",86,11
"peak_129",73,12
"peak_130",64,13
"peak_131",969,214
"peak_132",869,245
"peak_133",2963,954
"peak_134",921,184
"peak_135",540,147
"peak_136",549,95
"peak_137",2923,923
"peak_138",3661,1291
"peak_139",2016,574
"peak_140",365,98
"peak_141",3146,704
"peak_142",1373,487
"peak_143",617,197
"peak_144",148,50
"peak_145",4949,690
"peak_146",147,54
"peak_147",900,261
"peak_148",118,39
"peak_149",76,13
"peak_150",2846,342
"peak_151",391,137
"peak_152",5528,1110
"peak_153",567,194
"peak_154",669,172
"peak_155",549,81
"peak_156",442,77
"peak_157",231,78
"peak_158",266,110
"peak_159",268,108
"peak_160",801,276
"peak_161",266,83
"peak_162",96,18
"peak_163",211,32
"peak_164",666,251
"peak_165",323,55
"peak_166",207,46
"peak_167",117,21
"peak_168",1520,378
"peak_169",7481,2097
"peak_170",7502,2118
"peak_171",1407,451
"peak_172",681,163
"peak_173",2675,618
"peak_174",138,44
"peak_175",257,103
"peak_176",232,40
"peak_177",76,19
"peak_178",347,115
"peak_179",987,308
"peak_180",4857,1560
"peak_181",11014,2794
"peak_182",308,100
"peak_183",129,47
"peak_184",322,95
"peak_185",400,146
"peak_186",1776,329
"peak_187",899,220
"peak_188",139,49
"peak_189",637,213
"peak_190",300,99
"peak_191",10127,1569
"peak_192",6848,1089
"peak_193",165,62
"peak_194",832,306
"peak_195",3078,962
"peak_196",777,201
"peak_197",988,200
"peak_198",1240,235
"peak_199",162,68
"peak_200",5834,598
"peak_201",217,72
"peak_202",113,21
"peak_203",454,85
"peak_204",70,13
"peak_205",917,215
"peak_206",87,24
"peak_207",137,34
"peak_208",234,72
"peak_209",1998,515
"peak_210",155,53
"peak_211",324,115
"peak_212",1159,442
"peak_213",1611,431
"peak_214",129,30
"peak_215",224,44
"peak_216",332,97
"peak_217",199,76
"peak_218",744,243
"peak_219",629,232
"peak_220",1216,236
"peak_221",248,88
"peak_222",350,129
"peak_223",135,52
"peak_224",171,50
"peak_225",174,65
"peak_226",267,101
"peak_227",296,99
"peak_228",1828,421
"peak_229",452,171
"peak_230",414,159
