"","log2Expr.MLE","log2Expr.MLE.SE","log2AbsMod.MLE","log2AbsMod.MLE.SE","log2fcMod.MLE","log2fcMod.MLE.SE","log2fcMod.pvalue","log2fcMod.padj"
"peak_1",5.18378515152774,0.247420147622391,6.63159788716358,0.140126928319975,1.44781273563583,0.284345354598557,1.77395808903996e-07,1.84798651967694e-07
"peak_2",6.14071650322663,0.177583481956934,7.36310906521016,0.108747229657314,1.22239256198353,0.208235087173897,2.17565826864002e-09,2.54019459008618e-09
"peak_3",4.90367724931676,0.272643714892488,6.95895986436614,0.125097524730563,2.05528261504938,0.299973300996813,3.65265639799296e-12,4.88293591992856e-12
"peak_4",3.6812848669907,0.416470065563901,6.3631090162362,0.153791807843461,2.6818241492455,0.443958578316839,7.67197061995175e-10,9.17015901421031e-10
"peak_5",6.45387443648953,0.159319012851731,8.68831229604054,0.0686997637787062,2.23443785955101,0.17349987008673,2.96962712825475e-38,8.07461179069895e-38
"peak_6",5.74017858055999,0.204027882811392,7.92048573119404,0.0896447078207872,2.18030715063404,0.222853201158686,6.62058508330412e-23,1.28156784701875e-22
"peak_7",4.26624731915822,0.340046429633874,6.61792293207888,0.140792619048363,2.35167561292067,0.368040930762851,8.30991466798197e-11,1.04313531780396e-10
"peak_8",6.32514112307582,0.166588070939491,8.81656678650031,0.0657129583990756,2.49142566342449,0.179080366879099,2.66559241083077e-44,8.01939313416538e-44
"peak_9",6.55575403335018,0.153791807448154,7.85787376048749,0.091611226285834,1.30211972713732,0.179009876894428,1.74484400844255e-13,2.46295632133545e-13
"peak_10",5.90367730732507,0.192788230103364,7.67186176892388,0.0977116372929199,1.76818446159881,0.216136217023945,1.40889170080839e-16,2.23981336009909e-16
"peak_11",7.70365278330313,0.10331353802843,8.9036774561505,0.0637587152609055,1.20002467284737,0.121403709737848,2.42807092549629e-23,4.76033709218311e-23
"peak_12",5.52258716385481,0.220008919761479,8.36310906287015,0.0768959040429831,2.84052189901535,0.2330598714673,1.80187998512986e-34,4.56378758571366e-34
"peak_13",5.6812848463491,0.208235088448372,6.90367744115194,0.127517429629519,1.22239259480284,0.244177280065212,2.77620859394807e-07,2.85884802869631e-07
"peak_14",7.82424293732549,0.0990847021958811,9.92326818517778,0.0447791516949897,2.09902524785229,0.108733392097478,2.46960197351827e-83,1.22009911307258e-82
"peak_15",5.87768208470744,0.19453295621759,7.32152995834057,0.110325646514762,1.44384787363313,0.223639928213165,5.37080874074878e-11,6.81373865450988e-11
"peak_16",5.7967620940014,0.200065800862474,7.51838728686169,0.103049645336415,1.7216251928603,0.225045667317789,1.00399974385555e-14,1.49213221600631e-14
"peak_17",5.14071649034886,0.251140953917891,7.61792295414265,0.0995554158955608,2.47720646379379,0.27015376560107,2.3735209857622e-20,4.28607342822474e-20
"peak_18",4.79676202325539,0.282935753234203,6.67186175000063,0.138185122248256,1.87509972674524,0.314877376695292,1.30023420090562e-09,1.53590657196619e-09
"peak_19",6.65091127210506,0.148802631228294,7.94807157016048,0.0887917414204315,1.29716029805543,0.173280684747786,3.55317103982856e-14,5.15449321835474e-14
"peak_20",8.75810060131371,0.0716880930818507,10.6222103347954,0.035145893295525,1.86410973348171,0.0798399428848752,7.20655933894025e-121,5.01278371850851e-120
"peak_21",7.94807151942339,0.094922365041309,9.13008964971038,0.0589469212086404,1.18201813028699,0.111736273339413,1.87170496187521e-26,3.97472993264967e-26
"peak_22",7.81742166273217,0.0993192228206468,9.05088238144319,0.0605874966329598,1.23346071871102,0.11634067485237,1.45611253390964e-26,3.10062341395634e-26
"peak_23",7.42723933623779,0.113700297721492,8.60064498137805,0.070819114032395,1.17340564514027,0.133951873278953,9.77077528552979e-19,1.67889466965678e-18
"peak_24",6.95430342773167,0.133950871883167,7.98049305016898,0.0877996237300777,1.02618962243731,0.160161198335099,7.40936321608816e-11,9.3279177678857e-11
"peak_25",7.10754970100944,0.127022215642347,8.42723940962179,0.0752056775476917,1.31968970861235,0.147616180810488,1.9457263510643e-19,3.41822120586704e-19
"peak_26",6.34424992059665,0.165488469274491,7.8752210022843,0.0910621031641515,1.53097108168765,0.188888165820693,2.63354653108854e-16,4.15120155365159e-16
"peak_27",7.99114024252242,0.0935160300465314,9.14923016331346,0.0585571852247959,1.15808992079103,0.110336719623011,4.50777344702282e-26,9.47719732117639e-26
"peak_28",5.87768208308726,0.194532956326822,7.27871687480907,0.111974850719726,1.40103479172181,0.224458094959832,2.16206417563906e-10,2.65882598473403e-10
"peak_29",6.48863984772275,0.157410932458333,8.37535266435903,0.0765703022738251,1.88671281663628,0.175046314633034,2.17782752666688e-27,4.73567457436329e-27
"peak_30",7.23587381042895,0.121496839841064,8.98848584211524,0.0619119700422664,1.75261203168629,0.136361922469402,4.1556851200844e-38,1.12642458727513e-37
"peak_31",4.79676203143519,0.282935752432107,6.77404214543755,0.133377202965617,1.97728011400236,0.312797238764786,1.29699569005197e-10,1.61472897017901e-10
"peak_32",6.45387443094139,0.159319013158075,8.46973148812933,0.0741062663881077,2.01585705718795,0.175710802496804,9.05829831786632e-31,2.12171701479283e-30
"peak_33",4.26624730934238,0.340046430790681,6.53303403345189,0.144996306544473,2.26678672410951,0.369669439203322,4.34099484164554e-10,5.25024817979486e-10
"peak_34",6.32514109203641,0.166588072731552,7.69809331450676,0.09682735077614,1.37295222247035,0.192683992054334,5.18860931672309e-13,7.16458824316432e-13
