"","SRR7992454.sorted.bam","SRR7992461.sorted.bam"
"peak_1",106,34
"peak_2",176,66
"peak_3",133,28
"peak_4",88,12
"peak_5",441,82
"peak_6",259,50
"peak_7",105,18
"peak_8",482,75
"peak_9",248,88
"peak_10",218,56
"peak_11",512,195
"peak_12",352,43
"peak_13",128,48
"peak_14",1038,212
"peak_15",171,55
"peak_16",196,52
"peak_17",210,33
"peak_18",109,26
"peak_19",264,94
"peak_20",1685,405
"peak_21",599,231
"peak_22",567,211
"peak_23",415,161
"peak_24",270,116
"peak_25",368,129
"peak_26",251,76
"peak_27",607,238
"peak_28",166,55
"peak_29",355,84
"peak_30",543,141
"peak_31",117,26
"peak_32",379,82
"peak_33",99,18
"peak_34",222,75
"peak_35",151,25
"peak_36",96,19
"peak_37",210,58
"peak_38",96,22
"peak_39",278,99
"peak_40",192,78
"peak_41",179,30
"peak_42",714,98
"peak_43",360,88
"peak_44",315,89
"peak_45",228,72
"peak_46",83,14
"peak_47",789,299
"peak_48",1692,554
"peak_49",543,208
"peak_50",10096,1892
"peak_51",1756,532
"peak_52",341,126
"peak_53",234,73
"peak_54",265,85
"peak_55",92,9
"peak_56",921,300
"peak_57",186,38
"peak_58",809,86
"peak_59",645,240
"peak_60",16055,5270
"peak_61",123,41
"peak_62",94,29
"peak_63",247,68
"peak_64",296,85
"peak_65",1964,513
"peak_66",1279,432
"peak_67",4222,864
"peak_68",733,167
"peak_69",272,102
"peak_70",207,50
"peak_71",591,123
"peak_72",353,83
"peak_73",840,313
"peak_74",311,61
"peak_75",293,32
"peak_76",89,7
"peak_77",2160,605
"peak_78",1914,394
"peak_79",235,70
"peak_80",181,41
"peak_81",714,247
"peak_82",1086,284
"peak_83",8441,1569
"peak_84",57,8
"peak_85",189,24
"peak_86",55,6
"peak_87",285,84
"peak_88",2596,461
"peak_89",142,26
"peak_90",204,45
"peak_91",114,36
"peak_92",324,113
"peak_93",230,83
"peak_94",589,85
"peak_95",105,15
"peak_96",2138,651
"peak_97",12425,1934
"peak_98",136,28
"peak_99",113,18
"peak_100",116,26
"peak_101",87,10
"peak_102",95,29
"peak_103",524,162
"peak_104",588,203
"peak_105",280,115
"peak_106",235,71
"peak_107",160,49
"peak_108",432,139
"peak_109",1921,456
"peak_110",250,80
"peak_111",186,60
"peak_112",431,172
"peak_113",445,113
"peak_114",665,138
"peak_115",886,189
"peak_116",286,109
"peak_117",225,87
"peak_118",1062,368
"peak_119",322,123
"peak_120",247,91
"peak_121",1402,464
"peak_122",1013,249
"peak_123",79,21
"peak_124",81,21
"peak_125",53,6
"peak_126",121,32
"peak_127",7461,1341
"peak_128",127,17
"peak_129",103,35
"peak_130",1873,496
"peak_131",182,49
"peak_132",91,11
"peak_133",70,12
"peak_134",2963,953
"peak_135",921,184
"peak_136",561,165
"peak_137",550,95
"peak_138",2924,923
"peak_139",3650,1284
"peak_140",1955,548
"peak_141",363,98
"peak_142",3180,728
"peak_143",1313,462
"peak_144",616,196
"peak_145",146,50
"peak_146",4949,690
"peak_147",147,54
"peak_148",900,261
"peak_149",118,39
"peak_150",121,37
"peak_151",2847,342
"peak_152",389,137
"peak_153",5528,1110
"peak_154",576,201
"peak_155",653,172
"peak_156",565,90
"peak_157",442,77
"peak_158",195,64
"peak_159",392,157
"peak_160",864,306
"peak_161",219,57
"peak_162",272,90
"peak_163",108,26
"peak_164",662,250
"peak_165",322,55
"peak_166",206,46
"peak_167",117,21
"peak_168",1528,380
"peak_169",2675,618
"peak_170",148,53
"peak_171",314,124
"peak_172",216,38
"peak_173",76,19
"peak_174",347,115
"peak_175",1961,474
"peak_176",4875,1571
"peak_177",11115,2859
"peak_178",308,100
"peak_179",129,47
"peak_180",343,107
"peak_181",400,146
"peak_182",1794,345
"peak_183",899,220
"peak_184",144,53
"peak_185",637,213
"peak_186",304,100
"peak_187",10120,1567
"peak_188",6828,1081
"peak_189",162,59
"peak_190",908,353
"peak_191",3019,927
"peak_192",176,65
"peak_193",747,192
"peak_194",989,202
"peak_195",1237,236
"peak_196",5834,598
"peak_197",217,72
"peak_198",116,21
"peak_199",454,85
"peak_200",88,18
"peak_201",917,215
"peak_202",87,24
"peak_203",137,34
"peak_204",233,70
"peak_205",1995,520
"peak_206",164,56
"peak_207",353,128
"peak_208",1154,432
"peak_209",384,144
"peak_210",1626,435
"peak_211",129,30
"peak_212",224,44
"peak_213",339,101
"peak_214",217,84
"peak_215",768,254
"peak_216",640,231
"peak_217",1219,236
"peak_218",246,88
"peak_219",345,124
"peak_220",171,50
"peak_221",163,60
"peak_222",297,113
"peak_223",308,104
"peak_224",1870,445
"peak_225",458,176
"peak_226",434,173
"peak_227",1261,325
"peak_228",520,141
"peak_229",95,29
"peak_230",80,10
"peak_231",101,20
"peak_232",834,247
"peak_233",984,272
