"","RPKM.input","RPKM.IP"
"peak_1",4.55514341313878e-07,5.44469223225076e-07
"peak_2",1.50239454711189e-05,2.11636043752564e-05
"peak_3",4.57610636905027e-05,5.46126869723958e-05
"peak_4",4.69813587222494e-05,8.08900957765051e-05
"peak_5",7.85260638189664e-06,5.69168650249495e-06
"peak_6",9.60982337500556e-05,9.55722022016927e-05
"peak_7",7.1183876851893e-05,5.1248862050183e-05
"peak_8",2.42862638671165e-05,4.02495037405253e-05
"peak_9",0.000128130978333407,0.000110115798188907
"peak_10",5.90137301643113e-05,5.91573612506036e-05
"peak_11",6.15644340340697e-05,4.8291477023182e-05
"peak_12",0.000104996218356542,8.24137105942132e-05
"peak_13",0.000108555412199137,8.72615759232846e-05
"peak_14",1.60405844946868e-05,2.34384159495919e-05
"peak_15",3.48426344590845e-05,2.50776792962489e-05
"peak_16",8.84713898016385e-05,6.52977779017776e-05
"peak_17",3.66387601443567e-05,2.80697264903189e-05
"peak_18",6.31756907060551e-05,4.74398250059127e-05
"peak_19",5.55912181129069e-05,4.15531313920403e-05
"peak_20",1.96802483061116e-05,1.42584274384452e-05
"peak_21",6.47940489801208e-05,5.47302150046168e-05
"peak_22",0.000391511322685412,0.000283946397845609
"peak_23",0.000237042309916804,0.000170367838707365
"peak_24",3.70206215681542e-06,4.5047344316012e-06
"peak_25",3.77274547315033e-05,4.37692983996158e-05
"peak_26",2.48027445476979e-07,2.44754631560881e-07
"peak_27",0.000118978765595307,0.000124263650067625
"peak_28",0.000103216621435245,0.00010665303723957
"peak_29",7.30229739742064e-06,8.03416674162211e-06
"peak_30",2.13551630555679e-05,2.21616700757548e-05
"peak_31",8.54206522222717e-05,7.64577617613541e-05
"peak_32",2.21460950205889e-05,2.70864856481448e-05
"peak_33",1.79123998117496e-06,1.71947196947435e-06
"peak_34",1.58531778141771e-05,1.39720136121708e-05
"peak_35",1.60163722916759e-05,1.70829540167277e-05
"peak_36",0.000427103261111358,0.000609445927083258
"peak_37",1.1801537478077e-05,1.06434336548033e-05
"peak_38",4.19984873426169e-05,4.34922775236688e-05
"peak_39",1.41558846012287e-05,9.81865117669062e-06
"peak_40",3.55919384259465e-05,3.87829226325709e-05
"peak_41",1.77908273553561e-05,1.3286756835363e-05
"peak_42",0.00258278833177619,0.00309247637848762
"peak_43",0.000369208582048374,0.000272748638412039
"peak_44",9.11153623704231e-05,7.03633024905216e-05
"peak_45",6.05062953241091e-05,4.57084445312443e-05
"peak_46",0.000154231733179102,0.000122581737606519
"peak_47",0.000121012590648218,0.00012742960293559
"peak_48",0.000484050362592873,0.000837988149739479
"peak_49",8.46713482554096e-05,6.21109963965234e-05
"peak_50",0.000118458698473461,9.18610561282089e-05
"peak_51",1.25618606209223e-05,1.15696954071955e-05
"peak_52",6.6099314219615e-05,5.30297105384133e-05
"peak_53",0.000213132901868315,0.000226668257907169
"peak_54",4.7455917901262e-05,3.555101241319e-05
"peak_55",7.40312319259688e-05,6.44271408630872e-05
"peak_56",4.43393453184468e-05,4.78169332863364e-05
"peak_57",2.35221841870041e-05,2.19529103247422e-05
"peak_58",5.45743055864513e-05,4.15531313920403e-05
"peak_59",3.44968018589943e-05,2.81282735576888e-05
"peak_60",0.000331005027361303,0.000502792889843688
"peak_61",3.38123415046492e-05,3.46276094933669e-05
"peak_62",0.000108555412199137,0.000138510437973468
"peak_63",0.000132876570123534,0.000210535865719671
"peak_64",1.77959692129733e-05,3.41659080334554e-05
"peak_65",0.00139045839450698,0.00110808350378774
"peak_66",0.000685738013673236,0.000767347826373011
"peak_67",0.000540997464074387,0.000518029038020769
"peak_68",2.32121337560521e-05,2.86656384675524e-05
"peak_69",1.56138398829853e-06,1.70433344392775e-06
"peak_70",5.45743055864513e-05,5.17875137534132e-05
"peak_71",0.000436763930112687,0.000545632189588339
"peak_72",3.20327445833519e-05,2.79329383246493e-05
"peak_73",0.000177959692129733,0.00021330607447914
"peak_74",7.83022645370824e-05,8.31062627840806e-05
"peak_75",5.22015096913882e-05,6.04828912484142e-05
"peak_76",5.90826177870712e-05,5.31880081818116e-05
"peak_77",7.71633225074521e-05,0.000100503173793548
"peak_78",4.20631999579368e-05,4.38196658316061e-05
"peak_79",1.85078079814922e-05,3.49046303693138e-05
"peak_80",0.00016657027183343,0.000132970020454529
"peak_81",4.84940161053521e-05,5.62698654267212e-05
"peak_82",1.50277073353996e-05,2.73942866214192e-05
"peak_83",0.000282396131173003,0.000292627685859439
"peak_84",0.000428568811517133,0.000607409008877765
"peak_85",4.50831220061989e-05,6.46382043876182e-05
"peak_86",3.20327445833519e-05,7.06403233664685e-05
"peak_87",1.0677581527784e-05,2.77020875946935e-05
"peak_88",6.06589469787576e-05,4.89320170267442e-05
"peak_89",0.00010421063052642,0.000103414887811271
"peak_90",0.000294226690987825,0.000214229477398963
"peak_91",3.42976861195485e-05,3.92865969524745e-05
"peak_92",0.000128130978333407,0.000116348767897713
"peak_93",9.01662440123979e-05,7.97204520780625e-05
"peak_94",0.000195755661342706,0.000149129571551434
"peak_95",9.37508833873792e-05,9.67345015873681e-05
"peak_96",7.20736753125417e-05,7.27179799360705e-05
"peak_97",5.38963639021476e-05,5.20403502671743e-05
"peak_98",5.51675045602171e-05,7.0120909224068e-05
"peak_99",4.659308303033e-05,4.6086200271172e-05
"peak_100",5.08456263227807e-05,4.94680135619527e-05
"peak_101",8.89798460648663e-05,0.000108038141619305
"peak_102",6.9242498392296e-05,6.24556156680363e-05
"peak_103",4.95439782889176e-05,3.52739915372431e-05
"peak_104",0.000174400498287138,0.000131584916074794
"peak_105",0.000113894202963029,9.69573065814273e-05
"peak_106",0.000103216621435245,0.000135740229213998
"peak_107",0.000320327445833519,0.0002621043672421
"peak_108",0.000235618632379766,0.000193637592286908
"peak_109",4.88118012698695e-05,4.74892930194746e-05
"peak_110",0.000297923591735043,0.000397289983919433
"peak_111",2.293702698561e-05,3.44737090067297e-05
"peak_112",0.00105708057125061,0.000739645738778317
"peak_113",0.000230161201821121,0.0001837571810448
"peak_114",2.70498732037194e-05,3.68437765009424e-05
"peak_115",0.000126605609543724,0.000122482801579395
"peak_116",0.00019140553553509,0.000143127452572583
"peak_117",1.55063033097632e-06,1.47206668321123e-06
"peak_118",5.43844819148463e-05,6.06121676571894e-05
"peak_119",0.00011318236419451,9.52951813257457e-05
"peak_120",8.62031112319152e-06,1.27091552309144e-05
"peak_121",0.000520150757282047,0.000480631219767933
"peak_122",4.52472870197102e-05,3.75749852818856e-05
"peak_123",0.000161969111097786,0.000153064070948941
"peak_124",9.96574275926503e-05,7.6378612939655e-05
"peak_125",0.000225652889620501,0.000176185277102251
"peak_126",0.000154528332665984,0.000133547147279418
"peak_127",0.000376384748854384,0.000285677778320277
"peak_128",2.15304552576657e-05,1.86855622962066e-05
"peak_129",3.41682608889087e-05,4.04450478882526e-05
"peak_130",3.27495266766522e-05,2.789446320299e-05
"peak_131",0.000167536338733563,0.000331237818810835
"peak_132",1.56056960790689e-05,1.48099622140862e-05
"peak_133",0.000130503774228471,9.95736148542595e-05
"peak_134",0.000469813587222494,0.000799205227106908
"peak_135",0.000533879076389198,0.000403065374502791
"peak_136",0.000507382855560993,0.000562506278658916
