"","SRR7992455Aligned.sortedByCoord.out_sorted.bam","SRR7992458Aligned.sortedByCoord.out_sorted.bam"
"peak_1",86,28
"peak_2",257,71
"peak_3",138,45
"peak_4",292,66
"peak_5",149,80
"peak_6",138,54
"peak_7",222,120
"peak_8",247,58
"peak_9",159,72
"peak_10",662,257
"peak_11",129,64
"peak_12",119,59
"peak_13",126,61
"peak_14",199,53
"peak_15",172,93
"peak_16",165,87
"peak_17",565,287
"peak_18",137,71
"peak_19",315,164
"peak_20",175,94
"peak_21",471,217
"peak_22",205,110
"peak_23",615,333
"peak_24",222,71
"peak_25",158,53
"peak_26",71,28
"peak_27",314,117
"peak_28",77,29
"peak_29",229,81
"peak_30",64,24
"peak_31",138,60
"peak_32",88,28
"peak_33",148,60
"peak_34",231,102
"peak_35",74,27
"peak_36",440,120
"peak_37",146,63
"peak_38",157,59
"peak_39",262,147
"peak_40",56,20
"peak_41",664,346
"peak_42",6698,2177
"peak_43",1213,639
"peak_44",127,64
"peak_45",99,51
"peak_46",531,260
"peak_47",138,51
"peak_48",605,136
"peak_49",426,226
"peak_50",10862,5451
"peak_51",71,30
"peak_52",134,65
"peak_53",1391,509
"peak_54",154,80
"peak_55",814,364
"peak_56",2652,957
"peak_57",530,221
"peak_58",180,92
"peak_59",132,63
"peak_60",363,93
"peak_61",200,76
"peak_62",200,61
"peak_63",228,56
"peak_64",74,15
"peak_65",1200,586
"peak_66",831,289
"peak_67",374,152
"peak_68",238,75
"peak_69",115,41
"peak_70",673,276
"peak_71",5515,1718
"peak_72",121,54
"peak_73",154,50
"peak_74",60,22
"peak_75",131,44
"peak_76",192,83
"peak_77",1814,542
"peak_78",174,65
"peak_79",63,13
"peak_80",240,117
"peak_81",325,109
"peak_82",89,19
"peak_83",1800,676
"peak_84",7455,2047
"peak_85",70,19
"peak_86",51,9
"peak_87",120,18
"peak_88",313,151
"peak_89",663,260
"peak_90",232,124
"peak_91",156,53
"peak_92",84,36
"peak_93",259,114
"peak_94",323,165
"peak_95",1042,393
"peak_96",210,81
"peak_97",263,106
"peak_98",405,124
"peak_99",183,72
"peak_100",125,50
"peak_101",78,25
"peak_102",248,107
"peak_103",955,522
"peak_104",285,147
"peak_105",105,48
"peak_106",98,29
"peak_107",1230,585
"peak_108",699,331
"peak_109",120,48
"peak_110",5140,1500
"peak_111",112,29
"peak_112",534,297
"peak_113",995,485
"peak_114",133,38
"peak_115",619,249
"peak_116",465,242
"peak_117",2054,842
"peak_118",547,191
"peak_119",344,159
"peak_120",394,104
"peak_121",2429,1023
"peak_122",3474,1628
"peak_123",1525,628
"peak_124",193,98
"peak_125",636,317
"peak_126",1157,521
"peak_127",825,423
"peak_128",252,113
"peak_129",73,24
"peak_130",116,53
"peak_131",3348,659
"peak_132",139,57
"peak_133",647,330
"peak_134",1731,396
"peak_135",291,150
"peak_136",3655,1283
"peak_137",452,205
"peak_138",477,196
