"","RPKM.input","RPKM.IP"
"peak_1",5.95498227583672e-05,3.95665076931098e-05
"peak_2",2.3292297274559e-05,1.3460073691301e-05
"peak_3",3.53846772912037e-05,3.6269298718684e-05
"peak_4",1.58224166749285e-05,2.25309279919098e-05
"peak_5",0.000120825727335818,0.000146725799361949
"peak_6",7.45353512785887e-06,1.16901045456915e-05
"peak_7",1.19866792991882e-05,9.89162692327745e-06
"peak_8",1.3215313927355e-05,2.07105938706122e-05
"peak_9",7.95230552363289e-05,5.16955264204619e-05
"peak_10",6.55911091251581e-05,5.27553435908131e-05
"peak_11",2.56754670588612e-05,1.52495915067194e-05
"peak_12",1.79947929988635e-05,1.35125963516424e-05
"peak_13",4.31520454770777e-06,4.2741597816631e-06
"peak_14",2.03991487709822e-05,1.43878209793127e-05
"peak_15",2.35660442532584e-06,2.00073360098654e-06
"peak_16",0.000107880113692694,0.000190779230607886
"peak_17",0.000272936687642516,0.000199481142952762
"peak_18",0.00114640600817436,0.00131393777630869
"peak_19",5.794703249779e-05,5.27553435908131e-05
"peak_20",8.19888864064476e-05,0.0001022134782072
"peak_21",8.63040909541554e-06,2.32636410973377e-05
"peak_22",7.06124380533999e-06,1.30389627625021e-05
"peak_23",7.55160795848859e-06,1.93711027247517e-05
"peak_24",6.47280682156165e-05,4.72599953001034e-05
"peak_25",4.09944432032238e-05,3.04991830134388e-05
"peak_26",5.9981343213138e-05,4.45123211547485e-05
"peak_27",8.27080871643989e-05,0.000115951848933975
"peak_28",2.40513841755885e-05,1.50238976865619e-05
"peak_29",9.83866636877371e-05,6.4075761069675e-05
"peak_30",0.000146986654906296,9.50008335756438e-05
"peak_31",0.000402546938521882,0.000294864688284366
"peak_32",1.72608181908311e-05,1.14870506205803e-05
"peak_33",3.2166401555876e-05,2.11412956983083e-05
"peak_34",4.22139575319238e-05,2.73848459971821e-05
"peak_35",7.19623817220678e-05,4.33001119729743e-05
"peak_36",0.000156580279302539,0.000118464008152585
"peak_37",0.000400834555764855,0.000285574932840547
"peak_38",1.84568201356192e-07,2.26650378603754e-07
"peak_39",1.39323843513077e-05,9.03411819118448e-06
"peak_40",3.02064318339544e-05,2.06075560901614e-05
"peak_41",1.03884553926298e-06,1.35857221631434e-06
"peak_42",9.20576970177657e-05,0.000105510687181626
"peak_43",1.56916529007555e-05,1.67857911425314e-05
"peak_44",1.26373847468585e-05,1.36598657511927e-05
"peak_45",3.08228896264841e-06,9.42059706978805e-06
"peak_46",3.84230541919185e-06,6.43633258706409e-06
"peak_47",0.000236257448987,0.000166096902086701
"peak_48",0.000181238591003726,0.000123095801711897
"peak_49",0.00062786226169148,0.000396489379174704
"peak_50",2.77406006638357e-05,2.2844947894236e-05
"peak_51",9.11586960703266e-05,6.24408949531889e-05
"peak_52",0.000557894302239362,0.000569710607795432
"peak_53",2.58912272862466e-05,1.60559741363344e-05
"peak_54",3.99156420662969e-05,2.45916836009259e-05
"peak_55",0.000178002187592945,0.000168775884378422
"peak_56",0.000193644804078386,0.00016856980881752
"peak_57",1.41728124634915e-05,1.3664051874311e-05
"peak_58",0.000443027666897998,0.000324591905704586
"peak_59",0.000330113147899644,0.00046737937212486
"peak_60",9.42152992916196e-05,6.42955750013034e-05
"peak_61",7.14240752724045e-06,6.48072108766454e-06
"peak_62",6.0219050968484e-07,7.07889770798621e-07
"peak_63",3.1644833349857e-05,4.12151121803227e-05
"peak_64",1.54420838685367e-05,1.18810959565543e-05
"peak_65",7.60554801533494e-05,0.000141367834778507
"peak_66",5.53784583622497e-05,5.00076694454582e-05
"peak_67",1.19181839889072e-05,6.82993287559633e-06
"peak_68",3.06606638916078e-05,1.83949553310072e-05
"peak_69",2.0043124571324e-07,2.48099292999862e-07
"peak_70",0.000175772665243296,0.000152440961584287
"peak_71",0.000355464974617427,0.000560216412311036
"peak_72",0.000156066564475431,0.000110456500643265
"peak_73",4.09517951798412e-06,3.19389346410857e-06
