"","SRR7992451.sorted.bam","SRR7992456.sorted.bam"
"peak_312",954,442
"peak_313",105,32
"peak_314",175,87
"peak_315",444,144
"peak_316",129,49
"peak_317",141,77
"peak_318",225,114
"peak_319",460,198
"peak_320",379,117
"peak_321",1404,214
"peak_322",143,51
"peak_323",87,49
"peak_324",1636,551
"peak_325",440,169
"peak_326",169,80
"peak_327",97,23
"peak_328",3471,1591
"peak_329",2666,1686
"peak_330",3759,1828
"peak_331",1318,772
"peak_332",158,75
"peak_333",1835,487
"peak_334",474,178
"peak_335",214,114
"peak_336",117,71
"peak_337",130,85
"peak_338",1336,503
"peak_339",794,171
"peak_340",971,302
"peak_341",83,40
"peak_342",694,285
"peak_343",294,181
"peak_344",156,92
"peak_345",86,46
"peak_346",1074,439
"peak_347",712,273
"peak_348",1191,771
"peak_349",1434,261
"peak_350",200,109
"peak_351",108,33
"peak_352",533,304
"peak_353",49,16
"peak_354",2466,1217
"peak_355",136,72
"peak_356",148,57
"peak_357",1704,1065
"peak_358",956,586
"peak_359",655,230
"peak_360",150,85
"peak_361",1187,727
"peak_362",114,41
"peak_363",317,202
"peak_364",212,33
"peak_365",90,54
"peak_366",1134,581
"peak_367",153,72
"peak_368",62,32
"peak_369",165,98
"peak_370",838,371
"peak_371",187,105
"peak_372",97,45
"peak_373",4871,1106
"peak_374",231,116
"peak_375",62,13
"peak_376",124,26
"peak_377",679,241
"peak_378",91,44
"peak_379",337,153
"peak_380",112,71
"peak_381",2395,535
"peak_382",1100,306
"peak_383",404,215
"peak_384",113,68
"peak_385",1085,597
"peak_386",338,163
"peak_387",346,216
"peak_388",48,16
"peak_389",216,129
"peak_390",2754,1600
"peak_391",1376,822
"peak_392",725,235
"peak_393",129,22
"peak_394",71,19
"peak_395",61,14
"peak_396",2658,1017
"peak_397",480,256
"peak_398",877,373
"peak_399",86,35
"peak_400",477,184
"peak_401",321,162
"peak_402",4872,3153
"peak_403",202,90
"peak_404",2037,1191
"peak_405",298,162
"peak_406",71,23
"peak_407",100,18
"peak_408",36,3
"peak_409",49,19
"peak_410",66,31
"peak_411",45,12
"peak_412",68,27
"peak_413",35,9
"peak_414",77,23
"peak_415",294,207
"peak_416",2293,702
"peak_417",603,224
"peak_418",52,13
"peak_419",111,65
"peak_420",199,103
"peak_421",2473,736
"peak_422",91,57
"peak_423",211,132
"peak_424",42,13
"peak_425",14537,4141
"peak_426",1448,660
"peak_427",367,127
"peak_428",566,265
"peak_429",3598,2273
"peak_430",1133,635
"peak_431",158,101
"peak_432",381,162
"peak_433",194,63
"peak_434",233,163
"peak_435",606,356
"peak_436",1017,560
"peak_437",1472,355
"peak_438",314,195
"peak_439",207,126
"peak_440",1635,374
