"","SRR7992459.sorted.bam","SRR7992460.sorted.bam"
"peak_1",78,34
"peak_2",430,142
"peak_3",255,65
"peak_4",126,61
"peak_5",202,135
"peak_6",296,223
"peak_7",45,21
"peak_8",166,42
"peak_9",604,251
"peak_10",137,35
"peak_11",93,71
"peak_12",1022,427
"peak_13",144,99
"peak_14",151,86
"peak_15",101,51
"peak_16",87,47
"peak_17",49,17
"peak_18",295,122
"peak_19",51,22
"peak_20",41,10
"peak_21",64,19
"peak_22",225,105
"peak_23",61,22
"peak_24",47,22
"peak_25",147,78
"peak_26",105,40
"peak_27",140,88
"peak_28",86,22
"peak_29",164,105
"peak_30",101,29
"peak_31",48,18
"peak_32",741,245
"peak_33",155,100
"peak_34",72,33
"peak_35",996,703
"peak_36",4837,1881
"peak_37",897,545
"peak_38",134,90
"peak_39",199,138
"peak_40",297,207
"peak_41",58,32
"peak_42",450,125
"peak_43",252,156
"peak_44",11268,6488
"peak_45",1644,1206
"peak_46",90,62
"peak_47",50,27
"peak_48",57,26
"peak_49",137,67
"peak_50",1080,594
"peak_51",393,289
"peak_52",408,285
"peak_53",2142,890
"peak_54",410,186
"peak_55",86,60
"peak_56",43,12
"peak_57",284,110
"peak_58",193,66
"peak_59",495,302
"peak_60",62,35
"peak_61",177,34
"peak_62",46,16
"peak_63",798,556
"peak_64",631,287
"peak_65",245,134
"peak_66",142,54
"peak_67",169,126
"peak_68",655,304
"peak_69",268,198
"peak_70",307,226
"peak_71",1522,774
"peak_72",2693,1057
"peak_73",90,26
"peak_74",44,11
"peak_75",180,79
"peak_76",1292,414
"peak_77",40,10
"peak_78",82,48
"peak_79",149,66
"peak_80",42,14
"peak_81",65,36
"peak_82",63,22
"peak_83",357,96
"peak_84",74,14
"peak_85",1061,666
"peak_86",5880,1809
"peak_87",130,48
"peak_88",87,22
"peak_89",41,18
"peak_90",293,180
"peak_91",245,181
"peak_92",94,53
"peak_93",66,40
"peak_94",170,101
"peak_95",748,420
"peak_96",123,83
"peak_97",268,184
"peak_98",169,88
"peak_99",386,141
"peak_100",248,105
"peak_101",243,91
"peak_102",188,138
"peak_103",115,78
"peak_104",39,14
"peak_105",549,374
"peak_106",549,248
"peak_107",58,19
"peak_108",92,14
"peak_109",3530,1287
"peak_110",44,11
"peak_111",1003,510
"peak_112",71,31
"peak_113",38,13
"peak_114",380,148
"peak_115",257,174
"peak_116",250,128
"peak_117",1605,974
"peak_118",1455,1081
"peak_119",991,577
"peak_120",174,96
"peak_121",601,350
"peak_122",1303,578
"peak_123",794,532
"peak_124",355,243
"peak_125",87,53
"peak_126",2442,791
"peak_127",387,236
"peak_128",1332,347
"peak_129",2697,1142
"peak_130",296,212
"peak_131",243,144
"peak_132",288,109
"peak_133",170,67
"peak_134",109,72
"peak_135",285,205
"peak_136",164,120
"peak_137",358,243
"peak_138",61,31
"peak_139",139,71
"peak_140",231,61
"peak_141",121,49
"peak_142",65,38
"peak_143",830,366
"peak_144",1289,581
"peak_145",167,115
