"","SRR7992459.sorted.bam","SRR7992460.sorted.bam"
"peak_146",217,172
"peak_147",95,23
"peak_148",110,89
"peak_149",1150,638
"peak_150",2340,1467
"peak_151",5998,2625
"peak_152",204,114
"peak_153",218,125
"peak_154",315,214
"peak_155",1071,422
"peak_156",70,42
"peak_157",453,199
"peak_158",382,251
"peak_159",123,88
"peak_160",5943,2220
"peak_161",3644,1452
"peak_162",866,639
"peak_163",406,242
"peak_164",523,199
"peak_165",694,255
"peak_166",215,144
"peak_167",3310,608
"peak_168",107,77
"peak_169",59,24
"peak_170",150,50
"peak_171",121,44
"peak_172",395,190
"peak_173",135,93
"peak_174",153,96
"peak_175",1619,623
"peak_176",794,477
"peak_177",239,178
"peak_178",873,460
"peak_179",226,171
"peak_180",122,44
"peak_181",197,122
"peak_182",389,253
"peak_183",650,195
"peak_184",84,59
"peak_185",104,69
"peak_186",171,123
"peak_187",65,40
"peak_188",187,130
"peak_189",89,66
"peak_190",122,69
"peak_191",81,53
"peak_192",913,494
"peak_193",211,161
"peak_194",594,354
"peak_195",291,154
"peak_196",40,8
"peak_197",41,10
"peak_198",313,167
"peak_199",544,287
"peak_200",52,30
"peak_201",186,66
"peak_202",70,38
"peak_203",240,130
"peak_204",170,57
"peak_205",586,128
"peak_206",1384,599
"peak_207",377,184
"peak_208",102,76
"peak_209",1317,886
"peak_210",799,383
"peak_211",351,185
"peak_212",323,190
"peak_213",203,76
"peak_214",149,99
"peak_215",33,8
"peak_216",280,185
"peak_217",176,119
"peak_218",272,200
"peak_219",214,147
"peak_220",127,87
"peak_221",814,441
"peak_222",383,273
"peak_223",682,201
"peak_224",114,64
"peak_225",79,43
"peak_226",971,534
"peak_227",64,34
"peak_228",59,34
"peak_229",751,559
"peak_230",449,330
"peak_231",410,181
"peak_232",158,104
"peak_233",905,626
"peak_234",67,30
"peak_235",321,107
"peak_236",56,32
"peak_237",42,16
"peak_238",113,67
"peak_239",1700,872
"peak_240",1766,761
"peak_241",229,136
"peak_242",63,18
"peak_243",41,16
"peak_244",87,19
"peak_245",239,118
"peak_246",197,116
"peak_247",1733,548
"peak_248",660,268
"peak_249",257,172
"peak_250",70,37
"peak_251",165,122
"peak_252",79,45
"peak_253",1405,1024
"peak_254",1299,845
"peak_255",253,156
"peak_256",1436,736
"peak_257",262,171
"peak_258",92,69
"peak_259",308,225
"peak_260",483,319
"peak_261",344,237
"peak_262",61,22
"peak_263",89,32
"peak_264",82,22
"peak_265",78,14
"peak_266",85,56
"peak_267",59,35
"peak_268",708,296
"peak_269",206,144
"peak_270",244,135
"peak_271",115,47
"peak_272",132,93
"peak_273",2608,1136
"peak_274",58,34
"peak_275",3127,1241
"peak_276",246,127
"peak_277",120,70
"peak_278",258,153
"peak_279",132,108
"peak_280",1707,1240
"peak_281",550,396
"peak_282",48,24
"peak_283",621,344
"peak_284",574,330
"peak_285",329,240
"peak_286",142,106
"peak_287",1099,427
"peak_288",184,135
"peak_289",1450,507
"peak_290",79,32
"peak_291",468,159
"peak_292",65,41
"peak_293",335,200
"peak_294",435,194
"peak_295",206,144
"peak_296",982,582
"peak_297",179,130
"peak_298",124,91
"peak_299",217,127
"peak_300",274,171
"peak_301",856,562
"peak_302",2129,845
"peak_303",609,424
"peak_304",240,174
"peak_305",375,296
"peak_306",590,417
"peak_307",369,268
"peak_308",121,51
"peak_309",936,476
"peak_310",311,194
"peak_311",132,97
"peak_312",423,127
"peak_313",244,98
"peak_314",454,286
"peak_315",602,429
"peak_316",4035,2829
"peak_317",2573,1865
"peak_318",24743,10990
"peak_319",126,48
"peak_320",750,266
"peak_321",556,178
"peak_322",388,263
"peak_323",115,59
"peak_324",530,255
"peak_325",518,184
"peak_326",106,68
"peak_327",189,118
"peak_328",78,51
"peak_329",111,82
"peak_330",114,84
"peak_331",54,27
"peak_332",107,26
"peak_333",62,19
"peak_334",65,37
"peak_335",225,65
"peak_336",36,14
"peak_337",41,18
"peak_338",43,18
"peak_339",88,34
"peak_340",77,23
"peak_341",141,79
"peak_342",550,404
"peak_343",4081,1240
"peak_344",21091,9388
"peak_345",2591,1886
"peak_346",601,148
"peak_347",108,35
"peak_348",82,39
"peak_349",863,493
"peak_350",1864,775
"peak_351",163,113
"peak_352",2023,846
"peak_353",809,566
"peak_354",366,262
"peak_355",429,238
"peak_356",462,273
"peak_357",70,29
"peak_358",74,39
"peak_359",413,159
"peak_360",69,39
"peak_361",88,35
"peak_362",124,48
"peak_363",1090,799
"peak_364",38,14
"peak_365",2640,1727
"peak_366",979,669
"peak_367",199,142
"peak_368",1899,610
"peak_369",56,17
"peak_370",178,57
"peak_371",194,101
"peak_372",70,34
"peak_373",93,54
"peak_374",49,21
"peak_375",613,281
"peak_376",47,14
"peak_377",67,29
"peak_378",128,24
"peak_379",371,119
"peak_380",439,168
"peak_381",276,104
"peak_382",75,44
"peak_383",345,141
"peak_384",322,167
"peak_385",171,121
"peak_386",404,210
"peak_387",56,24
"peak_388",157,38
"peak_389",170,99
"peak_390",187,84
"peak_391",171,99
"peak_392",55,27
"peak_393",90,32
"peak_394",89,28
"peak_395",97,30
"peak_396",40,14
"peak_397",502,215
"peak_398",461,146
"peak_399",109,34
"peak_400",221,149
"peak_401",137,62
"peak_402",91,68
"peak_403",181,125
"peak_404",464,296
"peak_405",1628,655
"peak_406",66,27
"peak_407",263,59
"peak_408",2685,1654
"peak_409",959,417
"peak_410",96,62
"peak_411",92,72
"peak_412",237,169
"peak_413",417,290
"peak_414",80,51
"peak_415",519,175
"peak_416",423,259
"peak_417",516,348
"peak_418",179,75
"peak_419",96,63
"peak_420",1752,823
"peak_421",2305,1259
"peak_422",772,489
"peak_423",64,32
"peak_424",174,108
"peak_425",347,131
"peak_426",37,11
"peak_427",123,65
"peak_428",575,212
"peak_429",107,79
"peak_430",173,68
"peak_431",170,61
"peak_432",668,458
"peak_433",165,51
"peak_434",42,14
"peak_435",37,12
"peak_436",126,73
"peak_437",573,380
"peak_438",3260,2078
"peak_439",128,109
"peak_440",263,115
"peak_441",8180,4773
"peak_442",4858,3544
"peak_443",426,173
"peak_444",92,50
"peak_445",581,236
"peak_446",72,27
"peak_447",1088,518
"peak_448",523,171
"peak_449",292,84
"peak_450",1089,536
"peak_451",151,106
"peak_452",101,70
"peak_453",355,125
"peak_454",102,20
"peak_455",85,16
"peak_456",101,36
"peak_457",57,17
"peak_458",49,24
"peak_459",59,14
"peak_460",218,68
"peak_461",131,60
"peak_462",218,106
"peak_463",362,179
"peak_464",72,23
"peak_465",776,387
"peak_466",991,363
"peak_467",2603,953
"peak_468",233,172
"peak_469",127,79
"peak_470",77,35
"peak_471",183,58
"peak_472",665,367
"peak_473",526,294
"peak_474",369,204
"peak_475",789,418
"peak_476",174,120
"peak_477",418,250
"peak_478",788,440
"peak_479",372,222
"peak_480",687,237
"peak_481",80,53
"peak_482",204,97
"peak_483",105,70
"peak_484",620,180
"peak_485",183,116
"peak_486",67,14
"peak_487",2200,1476
"peak_488",57,31
"peak_489",3382,1890
"peak_490",576,185
"peak_491",141,107
"peak_492",158,104
"peak_493",39,14
"peak_494",48,19
"peak_495",186,55
"peak_496",58,21
"peak_497",865,297
"peak_498",128,97
"peak_499",358,246
"peak_500",379,183
"peak_501",434,152
"peak_502",313,195
"peak_503",2689,940
"peak_504",660,324
"peak_505",45,17
"peak_506",58,33
"peak_507",352,172
"peak_508",752,282
"peak_509",95695,26111
"peak_510",9021,6197
"peak_511",332,131
"peak_512",354,239
"peak_513",143,86
"peak_514",69,15
"peak_515",316,73
"peak_516",562,322
"peak_517",494,220
"peak_518",309,223
"peak_519",66,30
"peak_520",101,64
"peak_521",55,10
"peak_522",221,136
"peak_523",86,64
"peak_524",1640,530
"peak_525",194,76
"peak_526",298,190
"peak_527",261,197
"peak_528",48,20
"peak_529",3905,1963
"peak_530",56,29
"peak_531",37,13
"peak_532",488,309
"peak_533",93,28
"peak_534",80,38
"peak_535",37,12
"peak_536",120,46
"peak_537",169,108
"peak_538",93,61
"peak_539",536,244
"peak_540",44,15
"peak_541",57,30
"peak_542",120,44
"peak_543",5007,2683
"peak_544",994,724
"peak_545",1095,724
"peak_546",3788,2189
"peak_547",140,81
"peak_548",918,450
"peak_549",64,39
"peak_550",382,259
"peak_551",70,43
"peak_552",38,13
"peak_553",35,8
"peak_554",83,42
"peak_555",155,84
"peak_556",331,111
"peak_557",105,45
"peak_558",170,58
"peak_559",577,145
"peak_560",290,105
"peak_561",294,195
"peak_562",149,94
"peak_563",501,142
"peak_564",99,74
"peak_565",749,354
"peak_566",750,400
"peak_567",1265,653
"peak_568",712,244
"peak_569",462,246
"peak_570",425,178
"peak_571",627,315
"peak_572",98,43
"peak_573",130,67
"peak_574",169,116
"peak_575",904,663
"peak_576",453,294
"peak_577",168,110
"peak_578",367,203
"peak_579",241,108
"peak_580",693,384
"peak_581",304,224
"peak_582",526,302
"peak_583",2356,778
"peak_584",329,261
"peak_585",54,11
"peak_586",1399,788
"peak_587",196,56
"peak_588",271,201
"peak_589",671,468
"peak_590",2687,1366
"peak_591",323,171
"peak_592",137,95
"peak_593",103,77
"peak_594",124,92
"peak_595",1976,736
"peak_596",469,142
"peak_597",41,16
"peak_598",834,403
"peak_599",557,401
"peak_600",340,210
"peak_601",89,40
"peak_602",113,59
"peak_603",52,13
"peak_604",844,556
"peak_605",264,166
"peak_606",112,47
"peak_607",339,110
"peak_608",48,12
"peak_609",439,166
"peak_610",292,106
"peak_611",306,132
"peak_612",299,122
"peak_613",583,243
"peak_614",218,103
"peak_615",1048,440
"peak_616",92,48
"peak_617",59,18
"peak_618",475,236
"peak_619",616,290
"peak_620",906,486
"peak_621",471,331
"peak_622",2401,1127
"peak_623",176,103
"peak_624",43,11
"peak_625",87,38
"peak_626",64,29
"peak_627",66,25
"peak_628",51,23
"peak_629",187,123
"peak_630",82,56
"peak_631",143,82
"peak_632",170,58
"peak_633",92,44
"peak_634",201,92
"peak_635",33,6
"peak_636",35,9
"peak_637",982,335
"peak_638",527,253
"peak_639",1628,761
"peak_640",69,30
"peak_641",47,16
"peak_642",155,70
"peak_643",873,238
"peak_644",152,74
"peak_645",147,77
"peak_646",327,240
"peak_647",389,177
"peak_648",520,384
"peak_649",2196,1375
"peak_650",83,51
"peak_651",244,162
"peak_652",843,309
"peak_653",409,274
"peak_654",454,198
"peak_655",344,216
"peak_656",448,207
"peak_657",116,67
"peak_658",423,190
"peak_659",83,39
"peak_660",445,294
"peak_661",1023,469
"peak_662",242,149
"peak_663",88,33
"peak_664",52,13
"peak_665",76,33
"peak_666",54,16
"peak_667",48,11
"peak_668",247,182
"peak_669",521,335
"peak_670",61,7
"peak_671",611,223
"peak_672",782,357
"peak_673",111,63
"peak_674",86,42
"peak_675",145,46
"peak_676",247,95
"peak_677",485,301
"peak_678",343,249
"peak_679",47,16
"peak_680",188,96
"peak_681",185,129
"peak_682",185,129
"peak_683",812,615
"peak_684",666,505
"peak_685",7921,3874
"peak_686",162,119
"peak_687",170,108
"peak_688",145,55
"peak_689",103,60
"peak_690",110,78
"peak_691",195,137
"peak_692",204,147
"peak_693",111,88
"peak_694",48,17
"peak_695",2719,919
"peak_696",876,468
"peak_697",192,127
"peak_698",99,64
"peak_699",137,50
"peak_700",83,42
"peak_701",38,16
"peak_702",300,144
"peak_703",628,422
"peak_704",576,290
"peak_705",360,233
"peak_706",208,146
"peak_707",165,86
"peak_708",107,61
"peak_709",63,22
"peak_710",85,28
"peak_711",167,46
"peak_712",666,310
"peak_713",101,76
"peak_714",234,163
"peak_715",724,305
"peak_716",2409,1533
"peak_717",541,371
"peak_718",1356,716
"peak_719",557,349
"peak_720",650,284
"peak_721",171,118
"peak_722",156,78
"peak_723",328,182
"peak_724",672,438
"peak_725",278,209
"peak_726",7080,2460
"peak_727",46,13
"peak_728",174,114
"peak_729",85,35
"peak_730",72,25
"peak_731",176,75
"peak_732",150,50
"peak_733",78,29
"peak_734",1780,1006
"peak_735",46,18
"peak_736",83,24
"peak_737",110,29
"peak_738",107,27
"peak_739",207,149
"peak_740",446,193
"peak_741",102,65
"peak_742",197,126
"peak_743",164,115
"peak_744",163,118
"peak_745",175,124
"peak_746",289,200
"peak_747",536,317
"peak_748",317,220
"peak_749",875,313
"peak_750",137,93
"peak_751",45,15
"peak_752",39,10
"peak_753",4219,2023
"peak_754",170,110
"peak_755",331,193
"peak_756",186,125
"peak_757",159,117
"peak_758",181,92
"peak_759",386,99
"peak_760",230,95
"peak_761",64,40
"peak_762",276,228
"peak_763",76,38
"peak_764",182,135
"peak_765",610,455
"peak_766",176,84
"peak_767",87,52
"peak_768",347,201
"peak_769",1052,441
"peak_770",54,16
"peak_771",162,127
"peak_772",352,209
"peak_773",152,101
"peak_774",627,351
"peak_775",2437,924
"peak_776",591,414
"peak_777",748,582
"peak_778",499,317
"peak_779",201,151
"peak_780",1455,560
"peak_781",523,235
"peak_782",140,106
"peak_783",283,131
"peak_784",195,129
"peak_785",208,151
"peak_786",80,53
"peak_787",347,142
"peak_788",231,101
"peak_789",69,24
"peak_790",168,61
"peak_791",177,81
"peak_792",82,47
"peak_793",42,15
"peak_794",14329,6981
"peak_795",1040,384
"peak_796",362,189
"peak_797",561,307
"peak_798",136,101
"peak_799",44,20
"peak_800",228,131
"peak_801",338,155
"peak_802",48,15
"peak_803",35,5
"peak_804",251,121
"peak_805",113,66
"peak_806",104,38
"peak_807",287,168
"peak_808",244,118
"peak_809",218,152
"peak_810",47,13
"peak_811",699,309
"peak_812",125,90
"peak_813",168,105
"peak_814",42,11
"peak_815",171,130
"peak_816",607,371
"peak_817",57,36
"peak_818",39,4
"peak_819",40,13
"peak_820",138,41
"peak_821",477,124
"peak_822",74,49
"peak_823",141,97
"peak_824",74,29
"peak_825",58,21
"peak_826",300,115
"peak_827",52,25
"peak_828",1875,1289
"peak_829",729,519
"peak_830",1225,891
"peak_831",630,444
"peak_832",126,80
"peak_833",98,74
"peak_834",3822,1759
"peak_835",134,37
"peak_836",175,111
"peak_837",110,48
"peak_838",269,100
"peak_839",130,48
"peak_840",154,117
"peak_841",422,187
"peak_842",258,177
"peak_843",35,9
"peak_844",128,41
"peak_845",1001,701
"peak_846",2079,981
"peak_847",545,242
"peak_848",274,98
"peak_849",66,35
"peak_850",136,40
"peak_851",249,180
"peak_852",208,90
"peak_853",59,18
"peak_854",160,49
"peak_855",197,114
"peak_856",139,33
"peak_857",137,42
"peak_858",536,169
"peak_859",85,43
"peak_860",58,16
"peak_861",40,17
"peak_862",140,103
"peak_863",191,126
"peak_864",168,128
"peak_865",689,429
"peak_866",249,177
"peak_867",393,153
"peak_868",77,36
"peak_869",3316,1452
"peak_870",10696,5422
"peak_871",1143,821
"peak_872",167,111
"peak_873",123,31
"peak_874",111,75
"peak_875",100,67
"peak_876",729,332
"peak_877",49,21
"peak_878",214,114
"peak_879",318,134
"peak_880",255,80
"peak_881",239,170
"peak_882",241,146
"peak_883",829,472
"peak_884",569,336
"peak_885",775,307
"peak_886",310,139
"peak_887",391,165
"peak_888",439,83
"peak_889",133,67
"peak_890",77,18
"peak_891",493,252
"peak_892",13189,6184
"peak_893",954,278
"peak_894",139,89
"peak_895",156,112
"peak_896",552,418
"peak_897",221,118
"peak_898",287,112
"peak_899",215,157
"peak_900",430,212
"peak_901",306,90
"peak_902",236,180
"peak_903",395,284
"peak_904",373,218
"peak_905",127,51
"peak_906",423,161
"peak_907",75,24
"peak_908",205,140
"peak_909",111,76
"peak_910",1284,869
"peak_911",61,38
"peak_912",108,77
"peak_913",55,19
"peak_914",104,33
"peak_915",328,141
"peak_916",401,207
"peak_917",142,61
"peak_918",178,35
"peak_919",2774,1314
"peak_920",1374,390
"peak_921",452,157
"peak_922",104,39
"peak_923",242,93
"peak_924",112,39
"peak_925",58,23
"peak_926",94,32
"peak_927",137,67
"peak_928",34,12
"peak_929",107,28
"peak_930",183,42
"peak_931",74,52
"peak_932",47,20
"peak_933",124,92
"peak_934",40,16
"peak_935",85,40
"peak_936",130,42
"peak_937",50,18
"peak_938",2708,1087
"peak_939",108,28
"peak_940",113,73
"peak_941",3991,2143
"peak_942",709,351
"peak_943",473,166
"peak_944",365,224
"peak_945",35,7
"peak_946",42,17
"peak_947",121,86
"peak_948",141,65
"peak_949",61,38
"peak_950",110,60
"peak_951",297,130
"peak_952",166,78
"peak_953",235,143
"peak_954",187,97
"peak_955",94,65
"peak_956",90,70
"peak_957",41,16
"peak_958",174,38
"peak_959",109,65
"peak_960",123,83
"peak_961",126,65
"peak_962",79,49
"peak_963",67,41
"peak_964",354,122
"peak_965",1044,420
"peak_966",67,17
"peak_967",41,18
"peak_968",367,139
"peak_969",57,30
"peak_970",416,149
"peak_971",175,104
"peak_972",125,97
"peak_973",40,9
"peak_974",448,305
"peak_975",199,130
"peak_976",81,50
"peak_977",1376,647
"peak_978",51,26
"peak_979",54,17
"peak_980",61,12
"peak_981",292,168
"peak_982",307,87
"peak_983",3996,2459
"peak_984",673,317
"peak_985",318,130
"peak_986",192,85
"peak_987",454,156
"peak_988",504,337
"peak_989",1144,782
"peak_990",281,162
"peak_991",205,119
"peak_992",301,115
"peak_993",163,96
"peak_994",73,51
"peak_995",68,44
"peak_996",50,23
"peak_997",109,76
"peak_998",270,131
"peak_999",438,231
"peak_1000",55,28
"peak_1001",751,454
"peak_1002",1028,363
"peak_1003",101,68
"peak_1004",64,42
"peak_1005",41,13
"peak_1006",44,20
"peak_1007",106,51
"peak_1008",54,15
"peak_1009",78,27
"peak_1010",168,117
"peak_1011",115,60
"peak_1012",104,32
"peak_1013",28,6
"peak_1014",68,16
"peak_1015",199,98
"peak_1016",365,108
"peak_1017",63,18
"peak_1018",37,12
"peak_1019",110,62
"peak_1020",374,219
"peak_1021",1059,773
"peak_1022",2603,1009
"peak_1023",133,50
"peak_1024",260,86
"peak_1025",234,100
"peak_1026",357,90
"peak_1027",301,198
"peak_1028",49,19
"peak_1029",57,20
"peak_1030",50,25
"peak_1031",404,275
"peak_1032",284,104
"peak_1033",43,15
"peak_1034",101,75
"peak_1035",74,50
"peak_1036",151,112
"peak_1037",100,68
"peak_1038",57,26
"peak_1039",333,246
"peak_1040",41,19
"peak_1041",686,289
"peak_1042",478,230
"peak_1043",61,31
"peak_1044",288,77
"peak_1045",1095,528
"peak_1046",437,314
"peak_1047",1618,587
"peak_1048",1744,831
"peak_1049",527,332
"peak_1050",306,183
"peak_1051",130,96
"peak_1052",442,204
"peak_1053",97,66
"peak_1054",710,181
"peak_1055",238,159
"peak_1056",481,188
"peak_1057",346,203
"peak_1058",2381,1025
"peak_1059",7662,2390
"peak_1060",1629,860
"peak_1061",1611,934
"peak_1062",87,62
"peak_1063",68,23
"peak_1064",69,20
"peak_1065",2404,1140
"peak_1066",314,116
"peak_1067",87,53
"peak_1068",93,66
"peak_1069",1448,781
"peak_1070",181,142
"peak_1071",67,37
"peak_1072",258,88
"peak_1073",243,153
"peak_1074",802,306
"peak_1075",1024,681
"peak_1076",571,263
"peak_1077",6344,2468
"peak_1078",561,313
"peak_1079",83,42
"peak_1080",66,14
"peak_1081",272,165
"peak_1082",75,41
"peak_1083",116,54
"peak_1084",129,76
"peak_1085",93,67
"peak_1086",702,494
"peak_1087",179,135
"peak_1088",191,124
"peak_1089",334,194
"peak_1090",920,261
"peak_1091",199,93
"peak_1092",225,167
"peak_1093",555,404
"peak_1094",378,263
"peak_1095",338,216
"peak_1096",92,62
"peak_1097",720,332
"peak_1098",127,80
"peak_1099",1011,331
"peak_1100",643,449
"peak_1101",2227,1626
"peak_1102",8026,3321
"peak_1103",691,503
"peak_1104",2646,1604
"peak_1105",86,15
"peak_1106",3914,2363
"peak_1107",451,312
"peak_1108",73,25
"peak_1109",617,333
"peak_1110",151,118
"peak_1111",139,92
"peak_1112",45,19
"peak_1113",10384,5997
"peak_1114",44,15
"peak_1115",3710,2660
"peak_1116",81,26
"peak_1117",154,70
"peak_1118",79,34
"peak_1119",850,341
"peak_1120",253,149
"peak_1121",819,491
"peak_1122",780,422
"peak_1123",623,433
"peak_1124",1968,880
"peak_1125",405,272
"peak_1126",192,87
"peak_1127",120,87
"peak_1128",95,71
"peak_1129",203,130
"peak_1130",707,255
"peak_1131",796,352
"peak_1132",160,87
"peak_1133",151,61
"peak_1134",74,33
"peak_1135",83,28
"peak_1136",1929,970
"peak_1137",286,214
"peak_1138",349,256
"peak_1139",39,14
"peak_1140",137,64
"peak_1141",214,149
"peak_1142",109,71
"peak_1143",538,266
"peak_1144",438,278
"peak_1145",170,116
"peak_1146",75,52
"peak_1147",676,357
"peak_1148",361,218
"peak_1149",250,139
"peak_1150",170,59
"peak_1151",314,178
"peak_1152",52,21
"peak_1153",50,21
"peak_1154",95,51
"peak_1155",64,19
"peak_1156",493,324
"peak_1157",202,171
"peak_1158",1289,406
"peak_1159",155,113
"peak_1160",648,335
"peak_1161",337,211
"peak_1162",192,124
"peak_1163",664,179
"peak_1164",501,311
"peak_1165",223,156
"peak_1166",321,140
"peak_1167",763,257
"peak_1168",379,137
"peak_1169",96,71
"peak_1170",885,236
"peak_1171",60,29
"peak_1172",53,23
"peak_1173",2195,1058
"peak_1174",825,558
"peak_1175",4176,1319
"peak_1176",149,70
"peak_1177",192,63
"peak_1178",462,325
"peak_1179",305,207
"peak_1180",404,267
"peak_1181",358,211
"peak_1182",113,49
"peak_1183",213,84
"peak_1184",1153,595
"peak_1185",978,514
"peak_1186",47,20
"peak_1187",53,24
"peak_1188",277,95
"peak_1189",43,21
"peak_1190",47,19
"peak_1191",38,12
"peak_1192",47,13
"peak_1193",797,499
"peak_1194",1152,653
"peak_1195",160,74
"peak_1196",46,19
"peak_1197",1213,750
"peak_1198",116,71
"peak_1199",903,402
"peak_1200",666,264
"peak_1201",105,36
"peak_1202",60,32
"peak_1203",295,142
"peak_1204",209,84
"peak_1205",210,144
"peak_1206",1850,1075
"peak_1207",161,104
"peak_1208",68,40
"peak_1209",300,101
"peak_1210",279,152
"peak_1211",372,88
"peak_1212",78,33
"peak_1213",115,58
"peak_1214",95,32
"peak_1215",98,35
"peak_1216",262,182
"peak_1217",126,91
"peak_1218",605,254
"peak_1219",59,27
"peak_1220",946,333
"peak_1221",42,14
"peak_1222",55,22
"peak_1223",99,44
"peak_1224",50,18
"peak_1225",253,75
"peak_1226",179,126
"peak_1227",130,85
"peak_1228",547,284
"peak_1229",425,227
"peak_1230",504,141
"peak_1231",226,112
"peak_1232",190,117
"peak_1233",291,172
"peak_1234",246,150
"peak_1235",103,62
"peak_1236",121,94
"peak_1237",2512,1545
"peak_1238",540,393
"peak_1239",1271,792
"peak_1240",1347,976
"peak_1241",526,394
"peak_1242",215,105
"peak_1243",255,137
"peak_1244",380,249
"peak_1245",426,197
"peak_1246",586,311
"peak_1247",123,95
"peak_1248",177,116
"peak_1249",81,38
"peak_1250",615,142
"peak_1251",52,12
"peak_1252",557,291
"peak_1253",1554,513
"peak_1254",168,57
"peak_1255",57,9
"peak_1256",70,33
"peak_1257",52,20
"peak_1258",74,31
"peak_1259",133,52
"peak_1260",85,31
"peak_1261",57,26
"peak_1262",267,108
"peak_1263",111,44
"peak_1264",119,88
"peak_1265",127,85
"peak_1266",415,312
"peak_1267",305,150
"peak_1268",850,483
"peak_1269",50,6
"peak_1270",45,16
"peak_1271",44,18
"peak_1272",103,18
"peak_1273",612,301
"peak_1274",428,291
"peak_1275",300,155
"peak_1276",243,164
"peak_1277",3965,1223
"peak_1278",37,12
"peak_1279",128,26
"peak_1280",1239,626
"peak_1281",281,179
"peak_1282",25912,14422
"peak_1283",31523,22268
"peak_1284",164,119
"peak_1285",230,112
"peak_1286",382,223
"peak_1287",118,91
"peak_1288",485,364
"peak_1289",197,123
"peak_1290",561,317
"peak_1291",453,315
"peak_1292",563,293
"peak_1293",2293,1024
"peak_1294",1773,776
"peak_1295",382,245
"peak_1296",178,129
"peak_1297",306,95
"peak_1298",273,154
"peak_1299",568,279
"peak_1300",386,287
"peak_1301",465,335
"peak_1302",38,15
"peak_1303",168,62
"peak_1304",91,22
"peak_1305",73,33
"peak_1306",97,36
"peak_1307",102,26
"peak_1308",63,22
"peak_1309",102,26
"peak_1310",41,15
"peak_1311",183,89
"peak_1312",528,313
"peak_1313",226,60
"peak_1314",342,75
"peak_1315",67,37
"peak_1316",68,35
"peak_1317",66,17
"peak_1318",124,67
"peak_1319",534,242
"peak_1320",493,267
"peak_1321",116,77
"peak_1322",166,96
"peak_1323",626,349
"peak_1324",113,81
"peak_1325",63,33
"peak_1326",954,680
"peak_1327",292,205
"peak_1328",148,83
"peak_1329",79,42
"peak_1330",468,312
"peak_1331",344,225
"peak_1332",77,42
"peak_1333",2465,854
"peak_1334",377,213
"peak_1335",153,91
"peak_1336",287,190
"peak_1337",86,55
