"","log2Expr.MLE","log2Expr.MLE.SE","log2AbsMod.MLE","log2AbsMod.MLE.SE","log2fcMod.MLE","log2fcMod.MLE.SE","log2fcMod.pvalue","log2fcMod.padj"
"peak_1",5.99553149601379,0.158356352103272,7.27432555799507,0.132251636277327,1.27879406198129,0.206318268204897,2.85631527419677e-10,3.45210857745295e-10
"peak_2",4.01280945564906,0.314821822045582,6.50879075978395,0.172435038049564,2.49598130413489,0.358952100140449,1.78138754632757e-12,2.3776832902488e-12
"peak_3",4.70795486944167,0.24742014128218,6.88730240740619,0.151235532691352,2.17934753796452,0.289980873610466,2.83496964628608e-14,4.08436894165695e-14
"peak_4",5.29291741214835,0.202017704714556,7.82245128264457,0.109370428636541,2.52953387049621,0.229723837956717,1.68749447665934e-28,3.71770941278443e-28
"peak_5",3.62049203268333,0.36067368516821,6.07994743675283,0.200065804386402,2.45945540406949,0.412446132761858,1.2375233708067e-09,1.4451390089419e-09
"peak_6",5.37537958026863,0.196325920033741,8.0305594807382,0.101759862127125,2.65517990046957,0.221131035408259,1.62706724765379e-33,3.99818820741835e-33
"peak_7",6.23520193622259,0.145734205054395,8.19328899015754,0.0961796691066626,1.95808705393495,0.174610957521101,1.74051807661631e-29,3.92141663199032e-29
"peak_8",6.85889684521805,0.117404857278838,8.12770065436029,0.0983909846131849,1.26880380914224,0.153181871747477,6.00605945521985e-17,9.54505031930947e-17
"peak_9",7.29997222256396,0.100762192456624,8.7014359028257,0.080649104285961,1.40146368026174,0.129063151932073,9.06126341700135e-28,1.96612098651696e-27
"peak_10",6.46598216288719,0.134532004686137,9.00886442376811,0.0724981535537852,2.54288226088092,0.15282291115232,1.80595583065864e-62,6.83764664771456e-62
"peak_11",9.05094471320474,0.0549224616384641,11.0052166575439,0.0362949326870429,1.95427194433916,0.0658315951142827,5.83355184171403e-194,5.88715745323248e-193
"peak_12",6.15965088473798,0.149600505734468,7.4347902325999,0.125097524201248,1.27513934786191,0.195012052130983,3.10129968843619e-11,3.92817267185235e-11
"peak_13",6.01280949143182,0.157410932472838,7.41293079634575,0.126048849944043,1.40012130491392,0.201659397647243,1.91928989222916e-12,2.56032296436382e-12
"peak_14",5.07992365524665,0.217494451250956,7.06600830410338,0.142152965429726,1.98608464885672,0.259829363394241,1.05448429302389e-14,1.54302007974226e-14
"peak_15",5.14405402745067,0.212713767938012,7.82245128086388,0.109370428704037,2.67839725341321,0.239184103945738,2.08386809478465e-29,4.6855661175788e-29
"peak_16",7.19792094738114,0.104389749502735,8.55941689729714,0.084717969539232,1.361495949916,0.134440893522956,2.09451091352252e-24,4.17882532414141e-24
"peak_17",5.37537953041215,0.196325923426045,6.73705978710915,0.159319012890469,1.361680256697,0.252836730251196,3.60994956700472e-08,3.87046851546582e-08
"peak_18",7.33473764119074,0.0995554161119427,8.67412855706723,0.0814159909765384,1.33939091587649,0.128607325612205,1.0637041968352e-25,2.19575204169802e-25
"peak_19",8.44385939190168,0.0677837261201196,10.1209747993771,0.0493103012967901,1.67711540747539,0.0838220692659165,2.34354200554497e-89,1.17128305529959e-88
"peak_20",5.62049205110355,0.180336876621671,7.1868627100026,0.136321866552561,1.56637065889905,0.226064234129527,2.12101274621889e-12,2.82583073063082e-12
"peak_21",4.07992363548287,0.307583575707053,6.40187555573128,0.178944295370898,2.32195192024841,0.355849272547763,3.39781969697417e-11,4.2875911961743e-11
"peak_22",2.62049240836967,0.510069418038155,6.10742813468119,0.198169406044947,3.48693572631152,0.547212832306762,9.31832524703069e-11,1.15180093516152e-10
"peak_23",6.7702392259613,0.121068278062416,8.32202230926368,0.0919828758525731,1.55178308330239,0.152047285102523,9.3268243152427e-25,1.87844455194802e-24
"peak_24",6.65391510600127,0.126048850398055,8.36819248977859,0.0905227375439116,1.71427738377732,0.155185947103262,1.13835089212356e-28,2.51548001582749e-28
"peak_25",7.0551203434379,0.109686072740545,8.52925492575494,0.0856082003378478,1.47413458231703,0.139139491754278,1.57755087547972e-26,3.31427698933305e-26
"peak_26",4.4278469047679,0.272643713808092,6.16086746499636,0.194532956688571,1.73302056022846,0.334929327866145,1.14391295754151e-07,1.18795855535043e-07
"peak_27",4.47847300390723,0.267901721219849,6.52925487643998,0.171216399837586,2.05078187253275,0.317940842594937,5.58514949934012e-11,6.97956768090228e-11
"peak_28",7.38867645152526,0.0977116376914185,8.89126046225292,0.0755141095339876,1.50258401072766,0.123490666292132,2.31264122619318e-34,5.76804371734065e-34
"peak_29",7.54530463874198,0.0925489299720613,9.50879082670106,0.0609649925317546,1.96348618795908,0.11082434130655,1.54723662660917e-70,6.40350173323002e-70
"peak_30",7.14405407565425,0.106356889410718,8.68784683705696,0.0810298260368525,1.54379276140272,0.133707218711635,3.86373821003369e-31,9.01324352952881e-31
"peak_31",7.33473764414268,0.0995554160100912,8.97196484549375,0.0734312439907615,1.63722720135107,0.123707025819881,2.76531503139323e-40,7.65369600930662e-40
"peak_32",6.34841254895414,0.140126928488519,8.18686272202889,0.0963941167572308,1.83845017307475,0.170080513590571,1.55528372326892e-27,3.3530192971629e-27
"peak_33",8.75491847587679,0.0608564174110951,10.1410590461745,0.048968260385041,1.38614057029772,0.0781114206101017,9.30603879655164e-71,3.8609720962582e-70
"peak_34",6.47847308425612,0.133950871300572,7.72823595532654,0.113000595874267,1.24976287107042,0.175248308618553,4.96825708845883e-13,6.80760204333146e-13
