"","RPKM.input","RPKM.IP"
"peak_1",0.000106571767289889,7.18522755857198e-05
"peak_2",4.49399018692303e-06,7.04434074369802e-06
"peak_3",9.97849249667807e-07,1.25590532116216e-06
"peak_4",2.91039364486444e-05,4.66939157867983e-05
"peak_5",5.47838803739188e-06,8.37270214108108e-06
"peak_6",1.75090526763235e-05,3.06474564823226e-05
"peak_7",0.00025166345046769,0.000271710285828352
"peak_8",1.34632023217709e-06,9.01445292427158e-07
"peak_9",0.000263219425234063,0.000193216203255717
"peak_10",3.28132616822951e-05,5.31344558953222e-05
"peak_11",0.000101252350333939,0.000109029143265726
"peak_12",0.000159215652336702,0.00010707397930421
"peak_13",0.000107855764486153,7.90978832078092e-05
"peak_14",3.76639177570692e-05,4.14609769486226e-05
"peak_15",2.36255484112525e-05,4.20245242081185e-05
"peak_16",2.97264805438025e-05,2.12245071758174e-05
"peak_17",1.98102424566403e-05,1.41461863097936e-05
"peak_18",0.000539278822430763,0.000379186798889345
"peak_19",7.67349247899032e-05,6.81864569536997e-05
"peak_20",0.000109567760747838,9.01675615193347e-05
"peak_21",8.69167332855443e-06,1.20760127034823e-05
"peak_22",9.13064672898647e-07,2.84457188126473e-06
"peak_23",0.000243103469159265,0.00019804660833711
"peak_24",0.000112135755140365,0.000102243574222817
"peak_25",6.83481584472689e-05,5.27628862736766e-05
"peak_26",4.7935895327179e-05,4.42787132461019e-05
"peak_27",1.35403340696902e-05,1.5589034580859e-05
"peak_28",6.99778471963729e-05,5.50968079596381e-05
"peak_29",0.000249609054953668,0.000270502684558004
"peak_30",5.55895256735353e-05,4.50364238471047e-05
"peak_31",6.42610608234942e-06,5.55450536647304e-06
"peak_32",0.000272207405607909,0.000270502684558004
"peak_33",0.00144321284860042,0.00104819790266227
"peak_34",3.43980773133006e-05,2.27296774903882e-05
"peak_35",4.40827375284003e-05,5.2482943493336e-05
"peak_36",0.000184895596261976,0.000147327354982484
"peak_37",1.84895596261976e-05,3.28467545534719e-05
"peak_38",3.23567293458458e-05,3.50204368400987e-05
"peak_39",1.32679710280585e-05,2.01266878391372e-05
"peak_40",2.48716163925176e-07,5.55555063840591e-07
"peak_41",3.42399252336993e-05,7.9500416964592e-05
"peak_42",3.19572635514526e-05,3.48862589211712e-05
"peak_43",3.10640782571754e-06,2.39725013643442e-06
"peak_44",0.00315863310280876,0.00408732776637198
"peak_45",0.00010015178130857,7.18058293830141e-05
"peak_46",7.48998364487171e-05,4.97129189626689e-05
"peak_47",0.000269639411215382,0.000216160627392334
"peak_48",7.62496796550457e-05,4.68177723273469e-05
"peak_49",2.41693589884936e-06,4.97247581908096e-06
"peak_50",0.000531574839253181,0.000409376830648051
"peak_51",1.41239691589009e-05,2.73722954612266e-05
"peak_52",0.000146375680374064,0.00014370455117144
"peak_53",0.000166552779172494,0.000114549606215889
"peak_54",0.00205806407743985,0.0017705159767977
"peak_55",0.000596983167015792,0.000385437911347618
"peak_56",0.000406109970361126,0.000286891558941302
"peak_57",2.22559514019045e-05,1.67051509064839e-05
"peak_58",1.26687723364687e-05,1.6423377276736e-05
"peak_59",3.28703282243513e-05,3.70331056240125e-05
"peak_60",9.93196437528036e-05,8.80805572332973e-05
"peak_61",0.000188564159679872,0.000140944319696358
"peak_62",9.60658631050752e-05,0.000113915423478194
"peak_63",6.91456979289364e-06,7.85798881976786e-06
"peak_64",3.6914919392582e-06,3.01900317587058e-06
"peak_65",0.000126687723364687,9.41928990871621e-05
"peak_66",1.17394029372683e-05,1.69064177848753e-05
"peak_67",9.04868675333042e-06,1.32502191126523e-05
"peak_68",0.00012069573644879,0.000152157760063877
"peak_69",1.35952644310276e-05,1.47753567195548e-05
"peak_70",1.4837300934603e-05,3.67647497861573e-05
"peak_71",9.2447798130988e-06,2.65672279476611e-05
"peak_72",0.000125559017864727,8.1619953117563e-05
"peak_73",0.000117699742990841,0.000122168995183563
"peak_74",2.18279523364833e-05,1.66045174672882e-05
"peak_75",0.000261935428037799,0.000258426671854522
"peak_76",9.70131214954812e-06,8.92283160868416e-06
"peak_77",1.91187399782077e-05,1.22599113740937e-05
"peak_78",3.90335147664172e-05,2.53596266773129e-05
"peak_79",0.000102719775701098,7.93566549085981e-05
"peak_80",1.82834552218782e-05,1.42645457500681e-05
