"","log2Expr.MLE","log2Expr.MLE.SE","log2AbsMod.MLE","log2AbsMod.MLE.SE","log2fcMod.MLE","log2fcMod.MLE.SE","log2fcMod.pvalue","log2fcMod.padj"
"peak_1",4.05735754018815,0.37250218531541,6.38869157508433,0.149600506119974,2.33133403489617,0.401420200132391,3.16656386565927e-09,3.74116454356177e-09
"peak_2",4.95782191397095,0.272643713023709,7.33334856579414,0.107832089948398,2.3755266518232,0.293193366938296,2.69754400686815e-16,4.48759867714478e-16
"peak_3",5.05735760201201,0.263398852148291,7.55689192334069,0.0997933025401752,2.49953432132868,0.281669408671255,3.5282293052764e-19,6.46872746257204e-19
"peak_4",6.82289241028686,0.14284809489001,7.98395912777281,0.0860639703027249,1.16106671748595,0.166771054423112,1.67690364804568e-12,2.36236682045878e-12
"peak_5",6.00844800883919,0.189435137097532,7.27579755551787,0.110004464834276,1.26734954667868,0.219058557727446,3.61619709781611e-09,4.25984499595114e-09
"peak_6",6.72032267329564,0.148017387673988,8.01443973344246,0.0851595952916189,1.29411706014683,0.170766809095063,1.75095935298144e-14,2.70195287916398e-14
"peak_7",7.59341060372152,0.109370429061173,8.83537474805667,0.064072336020629,1.24196414433514,0.126756281105666,5.73910641545321e-23,1.18303259208315e-22
"peak_8",6.43586929649287,0.16335304350277,8.89119195809191,0.0628447830171809,2.45532266159904,0.175024807248974,5.2221546435834e-45,1.75202914033649e-44
"peak_9",9.21924543273771,0.062256886432089,10.9316818558618,0.030984529077427,1.71243642312406,0.0695410737297303,3.42529185104279e-134,2.97310251891501e-133
"peak_10",6.10466334097388,0.183222450845804,7.64394866807041,0.0968273508284721,1.53928532709653,0.207234169729412,5.52267682957154e-14,8.32193920541875e-14
"peak_11",6.32039203522012,0.17002324011241,7.44944564622577,0.103579466823926,1.12905361100565,0.199089444434589,7.09470509136524e-09,8.19122314231613e-09
"peak_12",5.82289233450974,0.202017710213493,6.95805725580916,0.122810356421441,1.13516492129942,0.236418138944849,7.87353862528802e-07,8.03254223838042e-07
"peak_13",6.59341054978137,0.154673143292004,7.75642340167436,0.0931255639682235,1.16301285189299,0.180544041968504,5.90663636913623e-11,7.70435601078752e-11
"peak_14",7.41725364002245,0.116255679666335,8.58085184147844,0.0699809884912537,1.16359820145599,0.135693483779203,4.94591545113179e-18,8.72180268655133e-18
"peak_15",7.39839461127199,0.117018020179508,8.51486872761346,0.0715997524544164,1.11647411634147,0.137185062297143,2.00180992129647e-16,3.34922784544765e-16
"peak_16",8.4768966258111,0.0805233851247229,9.98908416576044,0.0429556196976396,1.51218753994933,0.0912644551164133,5.80914378287404e-62,2.49262497056777e-61
"peak_17",4.32039191193491,0.340046435773938,6.27579752352985,0.155569805932358,1.95540561159494,0.373943220029918,8.51450595502828e-08,9.22454074152721e-08
"peak_18",7.4265915117376,0.115880054251107,9.09032414259017,0.0586538941369207,1.66373263085257,0.129878659085616,7.21602453741747e-38,2.11525461497581e-37
"peak_19",7.22728268640019,0.124167419504952,8.3252662406989,0.0764626839649712,1.09798355429872,0.145822116789904,2.54462016450939e-14,3.8958514761114e-14
"peak_20",5.98335703723966,0.191089622995564,7.56377831815405,0.0995554155888854,1.58042128091439,0.215468149251835,1.11005259510019e-13,1.64603301083171e-13
"peak_21",7.91201835336352,0.0979365211493279,9.26316074105259,0.0552436481964795,1.35114238768906,0.112442975431108,1.45968905516011e-33,3.91293626468193e-33
"peak_22",7.0812044206227,0.13061547194449,8.25467427208347,0.0783564385526821,1.17346985146077,0.15231589724962,6.58404816709878e-15,1.03510995699916e-14
"peak_23",8.04528489384169,0.0935160298377327,9.99419105540041,0.0428796592264015,1.94890616155872,0.102878146113087,2.48250047523927e-80,1.32261899371245e-79
"peak_24",6.93182678410444,0.137555575112105,7.87743880518093,0.0893005806893253,0.94561202107649,0.164000394366314,4.06084529588842e-09,4.76923493355552e-09
"peak_25",7.70505596765842,0.105219350081737,9.2799853630667,0.0549224614870909,1.57492939540829,0.118691146568905,1.74785613536749e-40,5.39018260103227e-40
"peak_26",7.59341061038656,0.109370428808535,9.39256463138744,0.052820818269618,1.79915402100088,0.12145752099783,6.03369097549632e-50,2.19185608018288e-49
"peak_27",6.94488294631007,0.136934553144197,8.34937869515977,0.0758263676773629,1.40449574884971,0.156527024659309,1.44450981406991e-19,2.68769155124508e-19
"peak_28",8.80867862856317,0.0717767611974267,10.2343165640259,0.0394556166175111,1.42563793546274,0.0819063434575101,3.7338207775412e-68,1.73750096089425e-67
"peak_29",8.10466343607965,0.0916112270164387,9.27998536427211,0.0549224614641463,1.17532192819246,0.10681335865646,1.83769359619599e-28,4.38473816938099e-28
"peak_30",6.95782201313673,0.136321867026861,8.9236742713132,0.0621412744369708,1.96585225817647,0.149817185700753,1.23704515508107e-39,3.75309184661018e-39
"peak_31",6.30021415147075,0.171216400263527,7.4193884122228,0.104664098129812,1.11917426075205,0.200672937567554,1.22276373758387e-08,1.39104851604924e-08
"peak_32",4.60989853615102,0.307583586392005,6.40412162810181,0.148802630458489,1.7942230919508,0.341686811378251,7.56070219452438e-08,8.21273892953054e-08
"peak_33",5.8783874614429,0.198169401012057,7.25041223553656,0.110976540889985,1.37202477409366,0.227127502057246,7.66907176816337e-10,9.40321668518303e-10
"peak_34",4.90535446368487,0.277646768658993,6.92634838204406,0.124167418693588,2.02099391835919,0.304146792285886,1.51816867025765e-11,2.03835189341286e-11
