"","SRR7992452Aligned.sortedByCoord.out_sorted.bam","SRR7992457Aligned.sortedByCoord.out_sorted.bam"
"peak_1",93,15
"peak_2",179,28
"peak_3",209,30
"peak_4",281,102
"peak_5",172,58
"peak_6",287,95
"peak_7",507,174
"peak_8",527,78
"peak_9",2168,537
"peak_10",222,62
"peak_11",194,72
"peak_12",138,51
"peak_13",240,87
"peak_14",425,154
"peak_15",406,152
"peak_16",1128,321
"peak_17",86,18
"peak_18",605,155
"peak_19",356,135
"peak_20",210,57
"peak_21",682,217
"peak_22",339,122
"peak_23",1132,238
"peak_24",261,110
"peak_25",690,188
"peak_26",746,174
"peak_27",362,111
"peak_28",1337,404
"peak_29",690,248
"peak_30",539,112
"peak_31",190,71
"peak_32",94,22
"peak_33",169,53
"peak_34",135,27
"peak_35",431,61
"peak_36",100,28
"peak_37",117,33
"peak_38",223,81
"peak_39",228,81
"peak_40",1285,394
"peak_41",5445,1041
"peak_42",758,282
"peak_43",388,127
"peak_44",199,62
"peak_45",312,110
"peak_46",66,9
"peak_47",526,171
"peak_48",180,19
"peak_49",66,5
"peak_50",569,205
"peak_51",10519,3207
"peak_52",107,33
"peak_53",285,88
"peak_54",1353,385
"peak_55",826,281
"peak_56",2924,638
"peak_57",184,64
"peak_58",302,80
"peak_59",164,50
"peak_60",325,63
"peak_61",107,20
"peak_62",172,14
"peak_63",1040,356
"peak_64",1086,209
"peak_65",182,59
"peak_66",287,68
"peak_67",218,51
"peak_68",229,82
"peak_69",436,160
"peak_70",999,217
"peak_71",2784,652
"peak_72",4820,896
"peak_73",162,37
"peak_74",192,49
"peak_75",1939,369
"peak_76",96,10
"peak_77",207,56
"peak_78",353,113
"peak_79",312,102
"peak_80",169,39
"peak_81",317,94
"peak_82",398,53
"peak_83",146,21
"peak_84",2840,718
"peak_85",13894,2093
"peak_86",83,14
"peak_87",117,17
"peak_88",93,21
"peak_89",420,132
"peak_90",477,141
"peak_91",173,49
"peak_92",473,129
"peak_93",155,37
"peak_94",2853,644
"peak_95",177,42
"peak_96",164,53
"peak_97",273,87
"peak_98",111,28
"peak_99",622,114
"peak_100",285,67
"peak_101",431,91
"peak_102",1442,527
"peak_103",717,238
"peak_104",305,105
"peak_105",777,257
"peak_106",658,155
"peak_107",87,13
"peak_108",170,40
"peak_109",5224,889
"peak_110",118,10
"peak_111",1414,426
"peak_112",167,29
"peak_113",98,15
"peak_114",106,31
"peak_115",612,150
"peak_116",435,134
"peak_117",2269,708
"peak_118",583,140
"peak_119",619,163
"peak_120",452,82
"peak_121",2415,664
"peak_122",2898,898
"peak_123",1219,298
"peak_124",2440,607
"peak_125",1083,365
"peak_126",1916,527
"peak_127",158,46
"peak_128",113,26
"peak_129",93,24
"peak_130",5122,625
"peak_131",478,165
"peak_132",1761,192
"peak_133",272,98
"peak_134",3509,692
"peak_135",597,195
"peak_136",693,157
"peak_137",317,76
"peak_138",228,54
"peak_139",104,19
"peak_140",276,88
"peak_141",216,73
"peak_142",767,273
"peak_143",150,52
"peak_144",198,61
"peak_145",475,176
"peak_146",832,165
"peak_147",475,124
"peak_148",124,39
"peak_149",233,39
"peak_150",61,4
"peak_151",1447,307
"peak_152",4651,1429
"peak_153",4676,1436
"peak_154",1016,312
"peak_155",594,114
"peak_156",1902,385
"peak_157",242,89
"peak_158",187,67
"peak_159",162,54
"peak_160",285,100
"peak_161",158,13
"peak_162",104,24
"peak_163",228,73
