"","RPKM.input","RPKM.IP"
"peak_1",8.84606958734103e-06,1.37345765827751e-05
"peak_2",4.92802162502622e-06,7.88934301670608e-06
"peak_3",2.55553121412074e-05,4.45840436982078e-05
"peak_4",1.15542634680991e-05,7.97116224625649e-06
"peak_5",4.44662431257009e-05,3.30220572463281e-05
"peak_6",6.3443065855785e-05,4.7997176230128e-05
"peak_7",0.000121271572161002,8.84893394497269e-05
"peak_8",2.98997152052127e-05,5.05890237465549e-05
"peak_9",0.000121087081939662,0.000122421033019903
"peak_10",6.79041151180654e-05,6.08878464176481e-05
"peak_11",0.00027599737112504,0.000186229043772897
"peak_12",6.73202954133047e-06,4.56171509625184e-06
"peak_13",0.000222331215628504,0.00015359096393641
"peak_14",4.91939758718243e-05,3.3997999829674e-05
"peak_15",6.47401240910588e-05,4.33041189987377e-05
"peak_16",0.000820325519732758,0.000721877530501126
"peak_17",1.53331872847244e-05,1.83455873590712e-05
"peak_18",1.06556852095243e-05,1.04154561044575e-05
"peak_19",9.40900128835364e-05,6.21345263197294e-05
"peak_20",2.57056375067439e-05,2.37162517842986e-05
"peak_21",6.93187841830251e-05,5.45567903149122e-05
"peak_22",1.21470704463401e-05,8.45248973611086e-06
"peak_23",3.32576787489467e-06,3.96127176235819e-06
"peak_24",4.32918532166245e-05,2.57233326407873e-05
"peak_25",0.00028826392095282,0.000264944412790307
"peak_26",4.36514166809891e-05,4.68663527063816e-05
"peak_27",0.000425495947151103,0.000347499555906127
"peak_28",0.000238254140885718,0.000197452998829788
"peak_29",0.000135808230236131,9.46230045679667e-05
"peak_30",4.77350727120619e-06,5.75283032867223e-06
"peak_31",9.32068747615955e-05,6.24620786556461e-05
"peak_32",6.02375214757032e-06,6.44533509376005e-06
"peak_33",4.16321171152867e-05,3.32439458315231e-05
"peak_34",8.6249178476575e-06,1.07993646517788e-05
"peak_35",4.25147465621905e-05,7.52246652915825e-05
"peak_36",2.38516246651269e-05,2.13320783245013e-05
"peak_37",2.29997809270867e-05,2.04206167960908e-05
"peak_38",0.000124198817006268,8.56269623945484e-05
"peak_39",7.76242606289175e-05,5.47167809023459e-05
"peak_40",0.00100687929836357,0.000822351619409527
"peak_41",0.000362769271895412,0.000475172044678267
"peak_42",0.000135123712946634,9.09546489560926e-05
"peak_43",5.40920773655557e-05,4.13842319495326e-05
"peak_44",0.000158442935275486,0.000127352507597273
"peak_45",0.000140554216776641,9.98341265586663e-05
"peak_46",7.66659364236222e-06,1.40791716941709e-05
"peak_47",0.000218497918807323,0.000168310097980316
"peak_48",9.10407995030514e-06,2.15987293035576e-05
"peak_49",5.47613831597302e-06,1.81017921782197e-05
"peak_50",0.000392912924171064,0.000273103932749428
"peak_51",0.00117079837195503,0.000961680565266127
"peak_52",2.25890705533887e-05,1.83417780593704e-05
"peak_53",0.000224886746842625,0.000182389269674487
"peak_54",0.000122984939679561,0.000108233632398939
"peak_55",1.6120269481471e-05,1.1866407532501e-05
"peak_56",0.00244564337191355,0.00280687486593789
"peak_57",2.88624701830107e-05,2.07799539443378e-05
"peak_58",8.56602641604718e-05,8.09784760977579e-05
"peak_59",4.38391676713302e-06,3.60088604837191e-06
"peak_60",1.07516761971386e-07,1.38896794276328e-07
"peak_61",6.5414621521862e-06,8.7639895164227e-06
"peak_62",8.9443592494226e-06,2.75183810386067e-05
"peak_63",0.000272930733668095,0.000199668253117333
"peak_64",8.90176706252058e-05,0.000115833185302042
"peak_65",6.46184321284816e-05,4.99170632793332e-05
"peak_66",2.96884036264596e-05,3.13785639591042e-05
"peak_67",2.18678006577446e-05,2.34080188325904e-05
"peak_68",1.53331872847244e-05,1.07232715675115e-05
"peak_69",9.43580755983043e-05,6.43900579579564e-05
