Geneid	LT34	LT35	LT36	LT46	LT47	LT48
ENSG00000006377.10	4	4	4	6	5	13
ENSG00000006432.15	715	685	840	278	361	582
ENSG00000006451.7	1119	1225	991	839	960	1127
ENSG00000006453.13	515	714	728	193	303	431
ENSG00000006459.10	439	484	391	277	198	372
ENSG00000006468.13	222	348	200	70	154	119
ENSG00000006530.15	118	197	128	95	185	288
ENSG00000006534.15	98	283	139	55	265	173
ENSG00000006555.10	12	8	10	7	22	17
ENSG00000006576.16	894	847	594	533	390	656
ENSG00000006606.8	12	31	20	1	20	9
ENSG00000006607.13	260	499	429	205	474	577
ENSG00000006611.15	0	3	1	1	2	5
ENSG00000006625.17	254	314	275	236	375	410
ENSG00000006634.7	309	306	221	203	216	286
ENSG00000006638.11	215	220	172	80	148	183
ENSG00000006652.13	1588	1318	1281	922	825	1071
ENSG00000006659.12	0	0	0	0	0	0
ENSG00000006695.10	368	493	448	338	451	684
ENSG00000006704.10	371	539	537	289	634	757
ENSG00000006712.14	833	1196	1088	565	1533	1325
ENSG00000006715.15	577	691	521	389	482	573
ENSG00000006740.16	173	208	162	129	198	294
ENSG00000006744.18	702	1067	928	750	1372	1565
ENSG00000006747.14	13	5	6	3	4	7
ENSG00000006756.15	178	314	300	115	185	218
ENSG00000006757.11	72	56	65	37	71	67
ENSG00000006788.12	1	1	0	0	0	0
ENSG00000006831.9	1417	1708	1592	816	1402	1529
ENSG00000006837.11	17	15	7	12	12	13
ENSG00000007001.12	0	0	0	0	0	0
ENSG00000007038.10	3	6	5	2	0	5
ENSG00000007047.14	1076	1646	1488	615	1565	1581
ENSG00000007062.11	0	2	0	3	8	4
ENSG00000007080.10	577	810	780	397	1261	998
ENSG00000007129.17	1	0	0	0	0	0
ENSG00000007168.12	1053	1633	1345	860	1655	1898
ENSG00000007171.16	0	3	3	2	3	4
ENSG00000007174.17	0	2	4	1	2	2
ENSG00000007202.14	3869	5025	4684	1865	3307	4126
ENSG00000007216.14	0	0	1	0	0	0
ENSG00000007237.18	1223	1404	1231	361	763	798
ENSG00000007255.10	125	96	90	34	85	84
ENSG00000007264.13	19	34	30	16	35	55
ENSG00000007306.14	0	0	0	0	0	0
ENSG00000007312.12	1	14	16	0	9	10
ENSG00000007314.11	16	4	13	0	2	4
ENSG00000007341.18	153	227	147	175	176	218
ENSG00000007350.16	0	0	0	0	0	0
ENSG00000007372.20	12	9	20	12	9	34
ENSG00000007376.7	402	721	730	328	1072	1039
ENSG00000007384.15	584	722	846	252	530	649
ENSG00000007392.16	160	353	259	141	356	381
ENSG00000007402.11	13	18	30	26	30	78
ENSG00000007516.13	81	94	114	34	64	156
ENSG00000007520.3	520	748	723	278	902	900
ENSG00000007541.14	718	1155	1138	378	920	1328
ENSG00000007545.15	293	439	386	249	433	579
ENSG00000007866.18	796	1129	1085	478	1226	1290
ENSG00000007908.15	0	8	5	0	4	3
